model,feature_set,internal_auc,internal_auc_p,external_auc,external_auc_p,internal_delta_vs_clinical,internal_delta_p_bootstrap,external_delta_vs_clinical,external_delta_p_bootstrap,internal_delta_ci_low,internal_delta_ci_high,external_delta_ci_low,external_delta_ci_high
clinical_only,clinical,0.8257588590696061,2.5049735519990642e-33,0.8345213895288432,9.563472250062879e-37,0.0,,0.0,,,,,
clinical_plus_vote_logit_l1,clinical_vote,0.8200598536730956,3.1341331865683825e-32,0.8292361205222026,1.19929707437769e-35,-0.00569900539651047,0.22,-0.005285269006640614,0.007,-0.014817574237434992,0.0035113395349079244,-0.009874203869206701,-0.001477337093370869
clinical_plus_vote_extratrees,clinical_vote,0.8149658382337519,2.889188893378223e-31,0.824023128698559,1.3973026376023487e-34,-0.010793020835854206,0.064,-0.010498260830284267,0.001,-0.022536179425882853,0.0006999524545456677,-0.01663873061628462,-0.0043938586416241016
vote_only_logit_l1,vote,0.8168251740354443,1.2895570409100479e-31,0.8203008537742242,7.878458305262625e-34,-0.008933685034161809,0.357,-0.014220535754619013,0.001,-0.026618505023584163,0.009556507248935045,-0.024396693150458906,-0.004902401372349909
vote_only_extratrees,vote,0.8142680831498198,3.9059090578819394e-31,0.8201834033518544,8.317677360869329e-34,-0.011490775919786311,0.099,-0.014337986176988893,0.0,-0.024849652715484945,0.0026089139582696507,-0.02318606071763297,-0.006812908099940648
direct_vote_guarded_raw_low_smi_risk,raw_direct_vote_score,0.8155022626624397,2.2904043726504925e-31,0.819180557437774,1.3208007363839601e-33,-0.010256596407166363,0.306,-0.01534083209106929,0.012,,,,
clinical_plus_vote_randomforest,clinical_vote,0.8154135308020554,2.3801410294988007e-31,0.8173691105389167,3.033959621929827e-33,-0.010345328267550746,0.125,-0.01715227898992655,0.0,-0.023834521824157368,0.0027865613587031994,-0.025804942343451216,-0.00814198500869161
vote_only_logit_l2,vote,0.7884067791141333,1.750747627543066e-26,0.7980304467633375,1.6280720376210767e-29,-0.03735207995547285,0.001,-0.036490942765505796,0.0,-0.061278334135715956,-0.01369252951231238,-0.053927352638382955,-0.019553494741253556
vote_only_histgb,vote,0.7837080237801386,1.112192331217691e-25,0.7967836653566427,2.7807689822495813e-29,-0.042050835289467514,0.001,-0.03773772417220056,0.0,-0.06515972890419985,-0.019232618493302194,-0.05517795801170738,-0.02029178403372827
clinical_plus_vote_logit_l2,clinical_vote,0.7894312287749358,1.1652972559591898e-26,0.7961693093011699,3.6176328764687173e-29,-0.03632763029467034,0.003,-0.038352080227673335,0.0,-0.06017518855072935,-0.013995645019346708,-0.05691428997128134,-0.021564356283750686
clinical_plus_vote_histgb,clinical_vote,0.7847526397728464,7.392476225010165e-26,0.7953742602882053,5.080405683888148e-29,-0.04100621929675974,0.001,-0.0391471292406379,0.001,-0.0629571871219662,-0.01904771541142124,-0.05729291006715711,-0.02162163721626049
direct_vote_balanced_raw_low_smi_risk,raw_direct_vote_score,0.7647315054570093,1.4361224066203427e-22,0.7918507476171115,2.2635042848404093e-28,-0.06102735361259681,0.001,-0.042670641911731755,0.0,,,,
clinical_plus_vote_poly_logit_l2,clinical_vote_poly,0.7753309295065702,2.7897838918956767e-24,0.788797036635497,8.146024660952382e-28,-0.05042792956303588,0.001,-0.0457243528933462,0.0,-0.08082015714939819,-0.022461982002508152,-0.07194308618843102,-0.020891315494559776
vote_poly_logit_l2,vote_poly,0.7773314296316015,1.3035609108740074e-24,0.78377377241722,6.50574949081977e-27,-0.0484274294380046,0.005,-0.05074761711162323,0.0,-0.08149229962572467,-0.017489576357034475,-0.07966319360715925,-0.02446915417048972
clinical_plus_vote_svm_rbf,clinical_vote,0.7831877324169751,1.362371123641078e-25,0.7742873921488909,2.9847639847777834e-25,-0.042571126652630964,0.0,-0.060233997379952386,0.0,-0.06883426744649171,-0.01590013755625239,-0.08121205010828642,-0.03920090465212678
vote_only_svm_rbf,vote,0.7900523517976268,9.098104057468395e-27,0.7637349234313593,1.8115280817005866e-23,-0.035706507271979326,0.003,-0.07078646609748396,0.0,-0.06164462458137811,-0.011681603425959182,-0.09074929166479935,-0.05003923638260185
