dataset,rule,features,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_delta,clinical_balanced_accuracy,post_balanced_accuracy,balanced_accuracy_delta,clinical_positive_n,clinical_positive_events,clinical_positive_event_rate,deesc_n,deesc_events,deesc_event_rate,fp_removed,tp_lost,sensitivity_loss_p_exact,specificity_gain_p_exact,accuracy_delta_p_mcnemar,deesc_event_fisher_p
g1090_internal,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S80,0.8062015503875969,0.7751937984496124,0.03100775193798444,0.696149843912591,0.7252861602497399,0.02913631633714886,0.7091743119266055,0.7311926605504587,0.022018348623853212,0.751175697150094,0.7502399793496761,-0.0009357178004179012,396,104,0.26262626262626265,32,4,0.125,28,4,0.125,7.450580596923828e-09,1.9301194697618484e-05,0.09145454974885553
g1090_internal,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S85,0.8527131782945736,0.813953488372093,0.03875968992248058,0.6399583766909469,0.676378772112383,0.03642039542143605,0.6651376146788991,0.6926605504587156,0.02752293577981646,0.7463357774927603,0.745166130242238,-0.0011696472505222655,456,110,0.2412280701754386,40,5,0.125,35,5,0.0625,5.820766091346741e-11,1.382612026645802e-06,0.08217297307720081
g1090_internal,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S90,0.9069767441860465,0.8682170542635659,0.03875968992248058,0.5275754422476587,0.5681581685744017,0.04058272632674298,0.5724770642201835,0.6036697247706422,0.031192660550458662,0.7172760932168526,0.7181876114189838,0.0009115182021312007,571,117,0.20490367775831875,44,5,0.11363636363636363,39,5,0.0625,3.637978807091713e-12,1.4051624930289108e-07,0.17131969340368824
sdata_external,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S80,0.8652482269503546,0.8368794326241135,0.028368794326241176,0.6254777070063694,0.7006369426751592,0.07515923566878979,0.661987041036717,0.7213822894168467,0.05939524838012966,0.745362966978362,0.7687581876496363,0.02339522067127431,416,122,0.2932692307692308,63,4,0.06349206349206349,59,4,0.125,3.469446951953614e-18,1.3821257506541063e-13,3.5606289116709304e-06
sdata_external,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S85,0.8794326241134752,0.8581560283687943,0.021276595744680882,0.575796178343949,0.6522292993630573,0.07643312101910826,0.6220302375809935,0.683585313174946,0.06155507559395246,0.7276144012287121,0.7551926638659259,0.027578262637213746,457,124,0.2713347921225383,63,3,0.047619047619047616,60,3,0.25,1.734723475976807e-18,9.048317650695026e-15,2.4618019692445356e-06
sdata_external,exact_surrogate_teacher_gate,"teacher_features=R1_045_056__endpoint_delta;R2_057_080__level_mean;R3_097_128__endpoint_delta;R4_117_128__linear_slope; patterns=--+-,---+,++-+,--++,++++",S90,0.9290780141843972,0.8936170212765957,0.03546099290780147,0.4840764331210191,0.5643312101910828,0.08025477707006368,0.5518358531317494,0.6144708423326134,0.06263498920086397,0.7065772236527081,0.7289741157338392,0.022396892081131048,536,131,0.24440298507462688,68,5,0.07352941176470588,63,5,0.0625,2.168404344971009e-19,7.651062942926057e-14,0.00022442044348063922
