feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,tuned_C,tuned_penalty,sensitivity,specificity,accuracy
HTN,clinic6,internal,1259,385,0.3057982525814138,0.7929150940592589,,,0.35450705632407054,1.0,l2,0.6805194805194805,0.7643020594965675,0.73868149324861
HTN,clinic6,external,1123,507,0.4514692787177204,0.711664937626476,0.6820262199795606,0.7430378176853004,0.35450705632407054,1.0,l2,0.6035502958579881,0.689935064935065,0.6509349955476402
HTN,clinic6_fpca3,internal,1259,385,0.3057982525814138,0.8029659128057298,,,0.31758892581362647,0.1,l1,0.7350649350649351,0.7242562929061785,0.727561556791104
HTN,clinic6_fpca3,external,1123,507,0.4514692787177204,0.732530290222598,0.7037109626735216,0.7640780256730827,0.31758892581362647,0.1,l1,0.6351084812623274,0.7094155844155844,0.6758682101513802
HTN,clinic6_uplow_ratio,internal,1259,385,0.3057982525814138,0.7998662664566556,,,0.28904464636154265,0.1,l1,0.7714285714285715,0.6819221967963387,0.7092930897537728
HTN,clinic6_uplow_ratio,external,1123,507,0.4514692787177204,0.7272759291990062,0.6984318200251284,0.7586539347592433,0.28904464636154265,0.1,l1,0.7317554240631163,0.6022727272727273,0.6607301869991096
DM,clinic6,internal,1259,232,0.18427323272438442,0.7209397978712688,,,0.17628456508211457,1.0,l1,0.728448275862069,0.6270691333982473,0.6457505957108817
DM,clinic6,external,1123,335,0.2983081032947462,0.6585157966512615,0.6249891142835048,0.6941977222865019,0.17628456508211457,1.0,l1,0.6417910447761194,0.5875634517766497,0.603739982190561
DM,clinic6_fpca3,internal,1259,232,0.18427323272438442,0.7422690796763254,,,0.16407455164044232,10.0,l1,0.7887931034482759,0.6056475170399221,0.6393963463065926
DM,clinic6_fpca3,external,1123,335,0.2983081032947462,0.6713349496173953,0.6373915569965446,0.7053607212947547,0.16407455164044232,10.0,l1,0.7313432835820896,0.4949238578680203,0.5654496883348175
DM,clinic6_uplow_ratio,internal,1259,232,0.18427323272438442,0.7386974112748884,,,0.16786616895433962,1.0,l2,0.7672413793103449,0.6231742940603701,0.6497220015885623
DM,clinic6_uplow_ratio,external,1123,335,0.2983081032947462,0.6700128797636186,0.6373688357235521,0.7036966640025027,0.16786616895433962,1.0,l2,0.6686567164179105,0.567258883248731,0.597506678539626
CKD,clinic6,internal,1259,105,0.08339952343129468,0.7717174218040769,,,0.058303141021815524,1.0,l2,0.8761904761904762,0.5849220103986135,0.6092136616362193
CKD,clinic6,external,1123,188,0.1674087266251113,0.6141284560245762,0.5694012695910923,0.660826457213645,0.058303141021815524,1.0,l2,0.7127659574468085,0.4320855614973262,0.4790739091718611
CKD,clinic6_fpca3,internal,1259,105,0.08339952343129468,0.7717256746719485,,,0.08400771808979736,1.0,l1,0.7619047619047619,0.6845753899480069,0.6910246227164416
CKD,clinic6_fpca3,external,1123,188,0.1674087266251113,0.6230515416998521,0.578305366073253,0.6676919964057058,0.08400771808979736,1.0,l1,0.574468085106383,0.5935828877005348,0.5903829029385574
CKD,clinic6_uplow_ratio,internal,1259,105,0.08339952343129468,0.7739126846579185,,,0.07050138736554529,1.0,l2,0.8095238095238095,0.6403812824956673,0.6544876886417792
CKD,clinic6_uplow_ratio,external,1123,188,0.1674087266251113,0.6286949596086016,0.584147593352446,0.6737183486448192,0.07050138736554529,1.0,l2,0.6702127659574468,0.4919786096256685,0.5218165627782725
