feature,cohort,auc_clinic6,auc_clinic6_fpca3,auc_clinic6_uplow_ratio,delta_auc_clinic6_fpca3_minus_clinic6,delong_z_clinic6_fpca3_minus_clinic6,delong_p_clinic6_fpca3_minus_clinic6,delta_auc_clinic6_uplow_ratio_minus_clinic6,delong_z_clinic6_uplow_ratio_minus_clinic6,delong_p_clinic6_uplow_ratio_minus_clinic6,delta_auc_clinic6_uplow_ratio_minus_clinic6_fpca3,delong_z_clinic6_uplow_ratio_minus_clinic6_fpca3,delong_p_clinic6_uplow_ratio_minus_clinic6_fpca3
HTN,internal,0.7929,0.803,0.7999,0.0101,1.9852,0.0471,0.007,1.5083,0.1315,-0.0031,-1.3174,0.1877
HTN,external,0.7117,0.7325,0.7273,0.0209,2.7912,0.0053,0.0156,2.1426,0.0321,-0.0053,-1.2878,0.1978
DM,internal,0.7209,0.7423,0.7387,0.0213,2.5992,0.0093,0.0178,2.495,0.0126,-0.0036,-0.8518,0.3944
DM,external,0.6585,0.6713,0.67,0.0128,1.3809,0.1673,0.0115,1.1112,0.2665,-0.0013,-0.2529,0.8003
CKD,internal,0.7717,0.7717,0.7739,0.0,0.0014,0.9989,0.0022,0.5441,0.5863,0.0022,0.6446,0.5192
CKD,external,0.6141,0.6231,0.6287,0.0089,1.4268,0.1536,0.0146,2.7493,0.006,0.0056,1.506,0.1321
