feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
DM,clinic4_bmi,scalar,3130,0.6486119277703923,0.6484308424515118,-0.00018108531888050283,-0.2550578955827572,0.7986783832993604,0.9524611775992372
DM,clinic4_smi,scalar,3130,0.6486119277703923,0.6597481422776699,0.011136214507277531,1.7120991147509166,0.08687840449387296,0.3396299354006598
DM,clinic4_vat,scalar,3130,0.6486119277703923,0.6505063997682108,0.0018944719978184477,0.47738248049174353,0.6330897872846073,0.8774863035695796
DM,clinic4_sat,scalar,3130,0.6486119277703923,0.6491589119541876,0.0005469841837952849,0.21940614335983882,0.8263336849059312,0.9674150457435292
DM,clinic4_imata,scalar,3130,0.6486119277703923,0.6481629427003444,-0.00044898507004798027,-0.270261847962202,0.7869588144590823,0.9518053628538443
DM,clinic4_nama,scalar,3130,0.6486119277703923,0.6701584176977878,0.021546489927395496,2.7235008728097263,0.006459404492993781,0.08362902340780592
DM,clinic4_lama,scalar,3130,0.6486119277703923,0.6434973327197737,-0.00511459505061862,-2.7509219526197235,0.0059427800431035745,0.08362902340780592
DM,clinic4_tama,scalar,3130,0.6486119277703923,0.66040004942564,0.011788121655247674,1.7594566144102475,0.07849998314650777,0.3206807822155211
DM,clinic4_vat_sat_ratio,inter_var_ratio,3130,0.6486119277703923,0.6631706548045131,0.014558727034120755,3.0841827846877816,0.0020411214916114997,0.07494870056113191
DM,clinic4_lama_tama_ratio,inter_var_ratio,3130,0.6486119277703923,0.6574153372873845,0.008803409516992211,1.537901563188074,0.1240726850461342,0.39703259214762937
DM,clinic4_imata_tama_ratio,inter_var_ratio,3130,0.6486119277703923,0.6542197140130211,0.005607786242628809,2.8207749564673636,0.004790779812179339,0.08362902340780592
DM,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.6465438269080002,-0.002068100862392175,-0.35524885921250465,0.7224031643168473,0.9380375880137763
DM,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6496595596005045,0.001047631830112139,0.1948052511212076,0.8455454112483947,0.9779802346969383
DM,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.6656994580222927,0.01708753025190035,2.1312034055248,0.033072388584698874,0.1980593595164133
DM,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6544881463680676,0.005876218597675287,1.2756755841377447,0.20207022297287702,0.5023895200588309
DM,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.645434945631796,-0.003176982138596296,-2.668411036180427,0.007621095860171566,0.08607355324429063
DM,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.645284751337901,-0.0033271764324913633,-2.231932936937399,0.025619395615316825,0.18218236882003075
DM,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.6609507618365886,0.012338834066196291,1.7637206447170166,0.0777790235740672,0.3206807822155211
DM,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6485006135596687,-0.00011131421072363423,-0.06586480998324698,0.9474854572865907,0.9903912419974396
DM,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.6622300763540921,0.013618148583699807,1.8932845935014573,0.05832003287651268,0.2989227598651704
DM,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6531545062549,0.0045425784845076755,1.188465190528436,0.23465018607918287,0.556207848483989
DM,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.652038168524389,0.0034262407539966677,0.6706639973151117,0.5024346031536957,0.7940557852863649
DM,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6481565514537956,-0.00045537631659675615,-0.5314086596773181,0.5951356219281361,0.8576012728599646
DM,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,0.6486119277703923,0.6548449909670383,0.00623306319664596,1.118454922894343,0.26337274836352254,0.6122996576567027
DM,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,0.6486119277703923,0.6519657343968368,0.0033538066264444666,1.0933065644536477,0.2742592216587314,0.6122996576567027
DM,clinic4_aec_slope,curve_slope,3130,0.6486119277703923,0.6494806046971402,0.0008686769267478578,0.16604891896822213,0.8681184527298971,0.9804631936714132
DM,clinic4_vat_slope,curve_slope,3130,0.6486119277703923,0.6626614854961312,0.014049557725738904,2.409618444884429,0.01596921158975419,0.13330820109707847
DM,clinic4_sat_slope,curve_slope,3130,0.6486119277703923,0.6516184766676894,0.0030065488972970122,0.9725816411822651,0.3307612707049733,0.6544000701791612
DM,clinic4_imata_slope,curve_slope,3130,0.6486119277703923,0.654842860551522,0.006230932781129628,1.5549561026084753,0.11995652437779317,0.39703259214762937
DM,clinic4_nama_slope,curve_slope,3130,0.6486119277703923,0.6663236697685517,0.01771174199815939,2.3872412122592976,0.016975349368202313,0.1358027949456185
DM,clinic4_lama_slope,curve_slope,3130,0.6486119277703923,0.6512254150049426,0.002613487234550238,0.5472176214187852,0.5842292313497388,0.8509763240000667
DM,clinic4_tama_slope,curve_slope,3130,0.6486119277703923,0.6581087875379215,0.00949685976752912,1.8348007629207204,0.0665352155508616,0.31629537479625636
