cohort,n_pos,n_neg,auc,ci_lower,ci_upper,mannwhitney_u,p_value
internal,129,961,0.8284530810121885,0.7912935895264139,0.8628326436447822,102702.5,7.471258277220495e-34
external,141,785,0.8347111171342096,0.7987222749243349,0.8671292406378462,92390.0,8.72705788162874e-37
