target_sensitivity,cohort,threshold,sensitivity,specificity,ppv,npv,n
0.85,internal,-2.391912947905811,0.8527131782945736,0.63579604578564,0.2391304347826087,0.9698412698412698,1090
0.85,external,-2.391912947905811,0.8794326241134752,0.5707006369426751,0.26898047722342733,0.9634408602150538,926
0.9,internal,-2.708288215837016,0.9069767441860465,0.5348595213319459,0.2074468085106383,0.9771863117870723,1090
0.9,external,-2.708288215837016,0.9290780141843972,0.4929936305732484,0.24763705103969755,0.9748110831234257,926
0.95,internal,-3.1812451086934788,0.9534883720930233,0.39438085327783556,0.17446808510638298,0.9844155844155844,1090
0.95,external,-3.1812451086934788,0.9645390070921985,0.32611464968152865,0.20451127819548873,0.9808429118773946,926
