feature,cohort,auc_clinic9,auc_clinic9_fpca3,auc_clinic9_uplow_ratio,delta_auc_clinic9_fpca3_minus_clinic9,delong_z_clinic9_fpca3_minus_clinic9,delong_p_clinic9_fpca3_minus_clinic9,delta_auc_clinic9_uplow_ratio_minus_clinic9,delong_z_clinic9_uplow_ratio_minus_clinic9,delong_p_clinic9_uplow_ratio_minus_clinic9,delta_auc_clinic9_uplow_ratio_minus_clinic9_fpca3,delong_z_clinic9_uplow_ratio_minus_clinic9_fpca3,delong_p_clinic9_uplow_ratio_minus_clinic9_fpca3
HTN,internal,0.8168,0.8205,0.8186,0.0037,1.1088,0.2675,0.0018,0.7574,0.4488,-0.0019,-0.8889,0.3741
HTN,external,0.7307,0.7366,0.7337,0.0059,1.0568,0.2906,0.003,0.7283,0.4664,-0.0029,-0.7635,0.4452
DM,internal,0.7234,0.7392,0.7391,0.0158,1.8486,0.0645,0.0157,1.9886,0.0467,-0.0001,-0.0369,0.9706
DM,external,0.6673,0.6946,0.6879,0.0273,2.7697,0.0056,0.0206,1.9917,0.0464,-0.0067,-1.6533,0.0983
CKD,internal,0.7855,0.7891,0.7915,0.0036,0.4425,0.6581,0.006,0.8076,0.4193,0.0023,0.6015,0.5475
CKD,external,0.6282,0.6396,0.6514,0.0115,1.4997,0.1337,0.0232,2.837,0.0046,0.0118,2.5369,0.0112
