cohort,feature,sex,quartile,n_tp,n_fp,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value
gangnam,height,M,Q1 (lowest),14,59,16.814771035572,113,29.1785714285715,TP > FP,2000,0.6581709145427287
gangnam,height,M,Q2,27,52,37.60982409793574,91,-47.40495014245016,TP < FP,2000,0.0239880059970015
gangnam,height,M,Q3,15,53,52.54422521145537,90,-68.03859119496855,TP < FP,2000,0.025987006496751622
gangnam,height,M,Q4 (highest),16,53,37.93593427201664,82,-50.50512971698117,TP < FP,2000,0.17641179410294852
gangnam,height,F,Q1 (lowest),10,59,25.611237693511928,95,39.69622033898298,TP > FP,2000,0.2608695652173913
gangnam,height,F,Q2,11,59,10.544318340889198,43,-14.70248073959948,TP < FP,2000,0.8075962018990505
gangnam,height,F,Q3,9,58,18.397707964993632,1,29.37739463601531,TP > FP,2000,0.5377311344327836
gangnam,height,F,Q4 (highest),15,54,16.338032945919327,113,-29.68414814814807,TP < FP,2000,0.4687656171914043
sinchon,height,M,Q1 (lowest),21,67,10.950256911783084,43,-20.730021321961544,TP < FP,2000,0.6216891554222889
sinchon,height,M,Q2,15,62,22.330502916577032,127,-28.92240860215051,TP < FP,2000,0.29235382308845576
sinchon,height,M,Q3,40,52,14.284817640397842,48,-21.016423076923132,TP < FP,2000,0.36031984007996004
sinchon,height,M,Q4 (highest),19,50,16.438499737325763,4,-31.175715789473742,TP < FP,2000,0.45977011494252873
sinchon,height,F,Q1 (lowest),11,44,21.734846669276823,14,-43.80704545454549,TP < FP,2000,0.3238380809595202
sinchon,height,F,Q2,7,40,22.376122697821273,14,30.168821428571448,TP > FP,2000,0.5057471264367817
sinchon,height,F,Q3,11,44,33.910263081915964,1,-55.75,TP < FP,2000,0.19290354822588707
sinchon,height,F,Q4 (highest),7,39,19.92133570508474,57,-30.974945054945096,TP < FP,2000,0.5327336331834083
gangnam,weight,M,Q1 (lowest),30,45,11.174525637091893,82,-21.613888888888937,TP < FP,2000,0.6721639180409795
gangnam,weight,M,Q2,20,51,35.24417967295861,72,-43.90501960784303,TP < FP,2000,0.09645177411294353
gangnam,weight,M,Q3,13,67,17.81410555098329,2,-35.43592422502877,TP < FP,2000,0.5792103948025987
gangnam,weight,M,Q4 (highest),9,54,18.845323263018233,62,28.932222222222265,TP > FP,2000,0.6831584207896052
gangnam,weight,F,Q1 (lowest),18,51,25.739477300103673,1,39.25490196078431,TP > FP,2000,0.1424287856071964
gangnam,weight,F,Q2,16,65,13.876370086505807,58,21.47908653846156,TP > FP,2000,0.5207396301849075
gangnam,weight,F,Q3,4,53,25.442662670849007,82,-36.32759433962272,TP < FP,2000,0.5407296351824088
gangnam,weight,F,Q4 (highest),7,61,23.42771965652186,1,51.271662763466054,TP > FP,2000,0.47176411794102946
sinchon,weight,M,Q1 (lowest),32,50,16.91750456796789,2,-23.890275000000003,TP < FP,2000,0.2748625687156422
sinchon,weight,M,Q2,29,60,6.627035958413428,121,-12.928557471264384,TP < FP,2000,0.8450774612693653
sinchon,weight,M,Q3,21,52,9.671127103833841,94,21.395851648351623,TP > FP,2000,0.7116441779110445
sinchon,weight,M,Q4 (highest),13,69,19.33098519983039,127,30.756276477146088,TP > FP,2000,0.447776111944028
sinchon,weight,F,Q1 (lowest),18,33,12.16137121299551,128,-17.525252525252526,TP < FP,2000,0.6016991504247876
sinchon,weight,F,Q2,8,45,29.72591559380728,27,-49.20272222222226,TP < FP,2000,0.2868565717141429
sinchon,weight,F,Q3,7,43,27.522728912222234,31,42.540232558139564,TP > FP,2000,0.3213393303348326
sinchon,weight,F,Q4 (highest),3,46,11.128746964154114,1,-33.782608695652186,TP < FP,2000,0.9610194902548725
