model,pca_k,explained_var_internal,sens_internal,spec_internal,acc_internal,ppv_internal,npv_internal,sens_external,spec_external,acc_external,ppv_external,npv_external,sens_delta_internal,spec_delta_internal,pass_internal,sens_delta_external,spec_delta_external,pass_external
Clinical only (stage-1),,,0.9069767441860465,0.5359001040582726,0.5798165137614679,0.20781527531083482,0.9772296015180265,0.9290780141843972,0.49044585987261147,0.5572354211663066,0.24670433145009416,0.9746835443037974,0.0,0.0,True,0.0,0.0,True
Clinical + AEC (PCA k=4),4.0,0.9174009454842902,0.8992248062015504,0.5660770031217481,0.6055045871559633,0.2176360225140713,0.9766606822262118,0.9219858156028369,0.5019108280254777,0.5658747300215983,0.2495201535508637,0.9728395061728395,-0.007751937984496027,0.030176899063475537,True,-0.007092198581560294,0.01146496815286624,True
Clinical + AEC (PCA k=6),6.0,0.9630722102142285,0.8914728682170543,0.586888657648283,0.6229357798165137,0.224609375,0.9757785467128027,0.9219858156028369,0.5121019108280255,0.5745140388768899,0.253411306042885,0.9733656174334141,-0.015503875968992165,0.05098855359001042,True,-0.007092198581560294,0.021656050955414008,True
