feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,transformer,internal,1259,385,0.7961633332342715,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,transformer,external,1123,507,0.7233183483183483,0.6940147316056845,0.7546039948988591
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,transformer,internal,1259,232,0.716616861968237,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,transformer,external,1123,335,0.665137510417456,0.631601455051988,0.6990452194350423
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,transformer,internal,1259,105,0.7668977469670711,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,transformer,external,1123,188,0.6148765502332462,0.5688508382116967,0.6607811530433801
