use_clinical,use_stage1_score,sens_delta,spec_delta,ppv,ni_ci_upper,pass
False,False,-0.015503875968992165,0.01144640998959423,0.20909090909090908,0.04891473947306046,True
True,False,-0.007751937984496027,0.027055150884495394,0.21641791044776118,0.0367718209497858,True
True,True,-0.007751937984496027,0.02289281997918835,0.21481481481481482,0.0367718209497858,True
False,True,-0.015503875968992165,0.026014568158168605,0.21455223880597016,0.04891473947306046,True
