rule,dataset,operating_point,pattern_code,pattern,n,events,event_rate
direct_vote_balanced_pattern_gate,gangnam_internal,S80,0,----,266,90,0.3383458646616541
direct_vote_balanced_pattern_gate,gangnam_internal,S80,1,+---,9,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,2,-+--,26,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,3,++--,25,7,0.28
direct_vote_balanced_pattern_gate,gangnam_internal,S80,4,--+-,20,1,0.05
direct_vote_balanced_pattern_gate,gangnam_internal,S80,5,+-+-,14,2,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S80,6,-++-,10,1,0.1
direct_vote_balanced_pattern_gate,gangnam_internal,S80,7,+++-,16,2,0.125
direct_vote_balanced_pattern_gate,gangnam_internal,S80,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,9,+--+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,10,-+-+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,11,++-+,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S80,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,13,+-++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S80,14,-+++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S80,15,++++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,0,----,283,91,0.3215547703180212
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,1,+---,8,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,2,-+--,26,2,0.07692307692307693
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,3,++--,23,5,0.21739130434782608
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,4,--+-,23,3,0.13043478260869565
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,5,+-+-,17,3,0.17647058823529413
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,6,-++-,7,1,0.14285714285714285
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,7,+++-,17,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,9,+--+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,10,-+-+,3,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,11,++-+,9,2,0.2222222222222222
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,13,+-++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,14,-+++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S82.5,15,++++,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,0,----,313,95,0.3035143769968051
direct_vote_balanced_pattern_gate,gangnam_internal,S85,1,+---,13,1,0.07692307692307693
direct_vote_balanced_pattern_gate,gangnam_internal,S85,2,-+--,33,2,0.06060606060606061
direct_vote_balanced_pattern_gate,gangnam_internal,S85,3,++--,20,5,0.25
direct_vote_balanced_pattern_gate,gangnam_internal,S85,4,--+-,22,1,0.045454545454545456
direct_vote_balanced_pattern_gate,gangnam_internal,S85,5,+-+-,13,2,0.15384615384615385
direct_vote_balanced_pattern_gate,gangnam_internal,S85,6,-++-,5,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,7,+++-,17,1,0.058823529411764705
direct_vote_balanced_pattern_gate,gangnam_internal,S85,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S85,9,+--+,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,10,-+-+,4,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,11,++-+,10,2,0.2
direct_vote_balanced_pattern_gate,gangnam_internal,S85,12,--++,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S85,13,+-++,2,1,0.5
direct_vote_balanced_pattern_gate,gangnam_internal,S85,14,-+++,1,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S85,15,++++,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,0,----,380,103,0.2710526315789474
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,1,+---,13,4,0.3076923076923077
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,2,-+--,33,2,0.06060606060606061
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,3,++--,22,1,0.045454545454545456
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,4,--+-,21,1,0.047619047619047616
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,5,+-+-,12,1,0.08333333333333333
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,6,-++-,11,1,0.09090909090909091
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,7,+++-,17,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,8,---+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,9,+--+,0,0,
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,10,-+-+,2,0,0.0
direct_vote_balanced_pattern_gate,gangnam_internal,S87.5,11,++-+,2,0,0.0
