feature,cohort,auc_clinic6,auc_clinic6_fpca3,auc_clinic6_fpca3_total,auc_clinic6_uplow_ratio,auc_clinic6_uplow_ratio_total,delta_auc_clinic6_fpca3_minus_clinic6,delong_z_clinic6_fpca3_minus_clinic6,delong_p_clinic6_fpca3_minus_clinic6,delta_auc_clinic6_uplow_ratio_minus_clinic6,delong_z_clinic6_uplow_ratio_minus_clinic6,delong_p_clinic6_uplow_ratio_minus_clinic6,delta_auc_clinic6_fpca3_total_minus_clinic6,delong_z_clinic6_fpca3_total_minus_clinic6,delong_p_clinic6_fpca3_total_minus_clinic6,delta_auc_clinic6_uplow_ratio_total_minus_clinic6,delong_z_clinic6_uplow_ratio_total_minus_clinic6,delong_p_clinic6_uplow_ratio_total_minus_clinic6,delta_auc_clinic6_fpca3_total_minus_clinic6_fpca3,delong_z_clinic6_fpca3_total_minus_clinic6_fpca3,delong_p_clinic6_fpca3_total_minus_clinic6_fpca3,delta_auc_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio,delong_z_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio,delong_p_clinic6_uplow_ratio_total_minus_clinic6_uplow_ratio
HTN,internal,0.8118,0.8174,0.8175,0.814,0.8141,0.0056,1.2774,0.2015,0.0022,0.7582,0.4483,0.0058,1.4084,0.159,0.0024,0.8974,0.3695,0.0002,0.1489,0.8817,0.0001,0.1562,0.8759
HTN,external,0.7434,0.7478,0.7495,0.7455,0.7481,0.0044,0.8033,0.4218,0.0021,0.4633,0.6432,0.0061,1.1341,0.2568,0.0047,1.1385,0.2549,0.0017,1.3675,0.1715,0.0026,2.2692,0.0233
DM,internal,0.7299,0.7431,0.7435,0.741,0.7408,0.0132,1.8311,0.0671,0.0111,1.8534,0.0638,0.0136,1.9325,0.0533,0.0109,1.8125,0.0699,0.0004,0.1677,0.8669,-0.0002,-0.0761,0.9393
DM,external,0.6937,0.7055,0.7074,0.7015,0.7006,0.0118,1.5605,0.1186,0.0078,0.9944,0.32,0.0136,1.8562,0.0634,0.0069,0.8707,0.3839,0.0018,0.9318,0.3514,-0.0009,-0.4917,0.6229
CKD,internal,0.7835,0.7906,0.7867,0.7924,0.7872,0.0071,0.7506,0.4529,0.0088,1.0275,0.3042,0.0032,0.3465,0.7289,0.0037,0.4783,0.6324,-0.0039,-0.8849,0.3762,-0.0051,-1.685,0.092
CKD,external,0.625,0.6324,0.635,0.6448,0.6434,0.0074,0.8676,0.3856,0.0198,2.0517,0.0402,0.0099,1.2224,0.2216,0.0184,2.1125,0.0346,0.0026,0.8363,0.403,-0.0013,-0.4975,0.6188
