section,variable,internal,external,test,statistic,p_value
True,Demographics,,,,,
False,Age (years)*,57.2 ± 12.2,59.9 ± 12.2,Welch t-test,-5.108,0.0
False,"Male sex, n (%)",412 (35.9%),491 (48.4%),chi-square,34.342,0.0
True,Anthropometry,,,,,
False,Height (cm)*,162.6 ± 7.9,163.7 ± 8.2,Welch t-test,-3.127,0.0018
False,Weight (kg)*,61.6 ± 9.9,62.3 ± 10.0,Welch t-test,-1.636,0.102
True,CT-derived measures,,,,,
False,VAT (cm2)†,7499.1 (4493.9–11272.0),8963.7 (5385.6–12600.5),Mann-Whitney U test,515263.5,0.0
False,SAT (cm2)†,18505.4 (14167.5–23325.9),17987.6 (12845.9–23761.0),Mann-Whitney U test,612048.0,0.0387
False,"Mean tube current, mean_mAs (mA)*",314.4 ± 82.7,203.9 ± 78.2,Welch t-test,31.918,0.0
True,"Comorbidities, n (%)",,,,,
False,HTN,344 (30.0%),463 (45.6%),chi-square,56.193,0.0
False,DM,211 (18.4%),315 (31.0%),chi-square,46.722,0.0
False,CKD,90 (7.8%),171 (16.8%),chi-square,41.098,0.0
