freq_hidden,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
16,16,HTN,0.7920086778210349,-0.003295788879312811
16,32,HTN,0.7928289102202145,-0.002475556480133201
32,16,HTN,0.7920666290231508,-0.0032378376771968753
32,32,DM,0.7137209146157204,-0.0048412685088807805
32,16,DM,0.7153409663230702,-0.0032212168015309794
16,16,DM,0.715244434744653,-0.0033177483799481378
16,32,CKD,0.7610382107782454,-0.005042502269538618
32,32,CKD,0.7522654122307503,-0.013815300817033749
32,16,CKD,0.748147231162829,-0.017933481884955027
