pretrain_epochs,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
15,16,HTN,0.7671580136111027,-0.028146453089245016
15,32,HTN,0.7941365270884722,-0.001167939611875557
30,16,HTN,0.7739962554607863,-0.021308211239561392
30,32,HTN,0.795619483491337,0.0003150167909893309
15,16,DM,0.6989767652687774,-0.019585417855823795
15,32,DM,0.7025316455696202,-0.01603053755498096
30,16,DM,0.6953379444649632,-0.023224238659637964
30,32,DM,0.7286749152200921,0.010112732095490906
15,16,CKD,0.7603862342163902,-0.0056944788313938455
15,32,CKD,0.7355368490550467,-0.03054386399273734
30,16,CKD,0.7530122967731286,-0.013068416274655381
30,32,CKD,0.719765618552447,-0.046315094495336995
