feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,ssl_pretrain,internal,1259,385,0.8006032868733097,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,ssl_pretrain,external,1123,507,0.7239491277952816,0.6946499566215847,0.755438353183038
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,ssl_pretrain,internal,1259,232,0.7133893496289829,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,ssl_pretrain,external,1123,335,0.6718008940071216,0.638117951693498,0.7067098299096398
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,ssl_pretrain,internal,1259,105,0.760609061648923,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,ssl_pretrain,external,1123,188,0.6193025372624872,0.5732092870976102,0.6638888455629072
