feature,comparison,cohort,auc_a,auc_b,diff,z,p_value
HTN,ssl_pretrain_minus_clinic4,internal,0.7953044667003477,0.8006032868733097,0.0052988201729620155,1.0279699216401648,0.30396397660739427
HTN,ssl_pretrain_minus_clinic4,external,0.7176925638464099,0.7239491277952815,0.006256563948871641,1.328988268337813,0.1838518403912709
DM,ssl_pretrain_minus_clinic4,internal,0.7185621831246012,0.7133893496289829,-0.0051728334956182564,-0.5346352230786525,0.5929021221773897
DM,ssl_pretrain_minus_clinic4,external,0.665451928176377,0.6718008940071217,0.006348965830744735,0.6891918081827143,0.4907025712154487
CKD,ssl_pretrain_minus_clinic4,internal,0.766080713047784,0.760609061648923,-0.005471651398861077,-0.37129782331295835,0.7104157190200161
CKD,ssl_pretrain_minus_clinic4,external,0.6156217999772443,0.6193025372624872,0.0036807372852428744,0.6155970114010585,0.5381605242382697
