disease,cohort,n,n_pos,prevalence,best_C,auc_mean,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy
HTN,internal,155,77,0.4967741935483871,1.0,0.8228438228438228,,,,0.3834543815708307,0.8441558441558441,0.6282051282051282,0.7354838709677419
HTN,external_sinchon,1123,507,0.4514692787177204,1.0,0.7114776249391633,,0.6809577552472693,0.7422982601729646,0.3834543815708307,0.8284023668639053,0.44805194805194803,0.6197684772929652
HTN,external_new10000,10400,2104,0.2023076923076923,1.0,0.6515643504955432,,0.6395577631295718,0.6640187905157552,0.3834543815708307,0.7656844106463878,0.4572082931533269,0.5196153846153846
DM,internal,94,47,0.5,0.31622776601683794,0.6985061113626075,,,,0.6128924919969038,0.5531914893617021,0.723404255319149,0.6382978723404256
DM,external_sinchon,1123,335,0.2983081032947462,0.31622776601683794,0.6706682324418518,,0.6369314667197493,0.7049033457760909,0.6128924919969038,0.48955223880597015,0.7474619289340102,0.6705253784505788
DM,external_new10000,10400,1216,0.11692307692307692,0.31622776601683794,0.641423370736292,,0.6253890724150699,0.6573819245656302,0.6128924919969038,0.3807565789473684,0.7800522648083623,0.7333653846153846
CKD,internal,42,21,0.5,31.622776601683793,0.6394557823129252,,,,0.5967543660142224,0.42857142857142855,0.6666666666666666,0.5476190476190477
CKD,external_sinchon,1123,188,0.1674087266251113,31.622776601683793,0.6169643873023097,,0.5718619465498959,0.6618640759423359,0.5967543660142224,0.4095744680851064,0.7101604278074867,0.659839715048976
