disease,cohort,model,n,auc_baseline,auc_model,auc_diff,z,p_value,q_value_bh
CKD,internal,clinic4_lama_fpca,42,0.639456,0.716553,0.077098,1.560849,0.118559,0.390549
HTN,external_new10000,clinic4_tama_uplow_ratio,6421,0.661951,0.660255,-0.001696,-1.078667,0.280736,0.593254
HTN,external_sinchon,clinic4_tama_uplow_ratio,1123,0.711478,0.699832,-0.011645,-3.033705,0.002416,0.030062
HTN,internal,clinic4_tama_uplow_ratio,155,0.822844,0.821345,-0.001499,-0.154724,0.877039,0.922628
DM,external_new10000,clinic4_tama_uplow_ratio,6421,0.646916,0.651066,0.004149,2.196377,0.028065,0.14968
DM,external_sinchon,clinic4_tama_uplow_ratio,1123,0.670668,0.662406,-0.008262,-1.967033,0.049179,0.229504
DM,internal,clinic4_tama_uplow_ratio,94,0.698506,0.708918,0.010412,0.832253,0.405266,0.703802
CKD,external_sinchon,clinic4_tama_uplow_ratio,1123,0.616964,0.612425,-0.00454,-2.657996,0.007861,0.067723
CKD,internal,clinic4_tama_uplow_ratio,42,0.639456,0.639456,0.0,0.0,1.0,1.0
HTN,external_new10000,clinic4_tama_fpca,6421,0.661951,0.663204,0.001253,0.860363,0.389589,0.703802
HTN,external_sinchon,clinic4_tama_fpca,1123,0.711478,0.713889,0.002411,0.879925,0.3789,0.703802
HTN,internal,clinic4_tama_fpca,155,0.822844,0.830336,0.007493,1.184895,0.236059,0.568893
DM,external_new10000,clinic4_tama_fpca,6421,0.646916,0.642919,-0.003997,-4.735385,2e-06,0.000122
DM,external_sinchon,clinic4_tama_fpca,1123,0.670668,0.667543,-0.003125,-2.577426,0.009954,0.074323
DM,internal,clinic4_tama_fpca,94,0.698506,0.692621,-0.005885,-1.054288,0.291751,0.605113
CKD,external_sinchon,clinic4_tama_fpca,1123,0.616964,0.618933,0.001968,0.60645,0.544216,0.781612
CKD,internal,clinic4_tama_fpca,42,0.639456,0.582766,-0.056689,-1.338028,0.180887,0.506485
