model,disease,term,coefficient,std_err,p_value,odds_ratio
clinic4_sat_fpca,CKD,weight,0.416792,0.297368,0.161034,1.517086
clinic4_sat_fpca,CKD,sat_fpca_pc1,0.042374,0.247,0.863787,1.043285
clinic4_sat_fpca,CKD,sat_fpca_pc2,0.151364,0.175385,0.388116,1.16342
clinic4_imata_uplow_ratio,HTN,intercept,-0.719156,0.15218,2e-06,0.487163
clinic4_imata_uplow_ratio,HTN,sex_M,1.159572,0.288499,5.8e-05,3.188569
clinic4_imata_uplow_ratio,HTN,age,0.953332,0.122633,0.0,2.594339
clinic4_imata_uplow_ratio,HTN,height,-0.364609,0.161382,0.023865,0.694468
clinic4_imata_uplow_ratio,HTN,weight,0.551479,0.134368,4.1e-05,1.735818
clinic4_imata_uplow_ratio,HTN,imata_uplow_ratio,0.090813,0.104856,0.386448,1.095065
clinic4_imata_uplow_ratio,DM,intercept,-0.613587,0.192979,0.001475,0.541406
clinic4_imata_uplow_ratio,DM,sex_M,1.084215,0.364883,0.002964,2.957118
clinic4_imata_uplow_ratio,DM,age,0.543601,0.1387,8.9e-05,1.722198
clinic4_imata_uplow_ratio,DM,height,-0.668345,0.200279,0.000847,0.512556
clinic4_imata_uplow_ratio,DM,weight,0.657689,0.170165,0.000111,1.930326
clinic4_imata_uplow_ratio,DM,imata_uplow_ratio,0.266153,0.169561,0.116494,1.304935
clinic4_imata_uplow_ratio,CKD,intercept,-1.032508,0.323753,0.001427,0.356113
clinic4_imata_uplow_ratio,CKD,sex_M,1.102718,0.52855,0.036951,3.012341
clinic4_imata_uplow_ratio,CKD,age,0.781789,0.207373,0.000163,2.185378
clinic4_imata_uplow_ratio,CKD,height,-0.048651,0.300813,0.871517,0.952513
clinic4_imata_uplow_ratio,CKD,weight,0.458748,0.250686,0.067254,1.582091
clinic4_imata_uplow_ratio,CKD,imata_uplow_ratio,-0.041626,0.125983,0.741093,0.959229
clinic4_imata_fpca,HTN,intercept,-0.570733,0.160625,0.000381,0.565111
clinic4_imata_fpca,HTN,sex_M,1.303372,0.295891,1.1e-05,3.681689
clinic4_imata_fpca,HTN,age,0.819373,0.134724,0.0,2.269077
clinic4_imata_fpca,HTN,height,-0.256517,0.168617,0.128185,0.773742
clinic4_imata_fpca,HTN,weight,0.32057,0.153703,0.03701,1.377913
clinic4_imata_fpca,HTN,imata_fpca_pc1,0.489954,0.139547,0.000446,1.632241
clinic4_imata_fpca,HTN,imata_fpca_pc2,0.032489,0.126123,0.796715,1.033023
clinic4_imata_fpca,HTN,imata_fpca_pc3,0.08346,0.109549,0.446149,1.087041
clinic4_imata_fpca,DM,intercept,-0.451326,0.207804,0.029865,0.636783
clinic4_imata_fpca,DM,sex_M,1.044518,0.385582,0.00675,2.842027
clinic4_imata_fpca,DM,age,0.538148,0.157403,0.000629,1.712831
clinic4_imata_fpca,DM,height,-0.450796,0.21306,0.034361,0.637121
clinic4_imata_fpca,DM,weight,0.336547,0.205077,0.100782,1.400105
clinic4_imata_fpca,DM,imata_fpca_pc1,0.516144,0.177789,0.003695,1.675554
clinic4_imata_fpca,DM,imata_fpca_pc2,0.240281,0.182574,0.188149,1.271606
clinic4_imata_fpca,DM,imata_fpca_pc3,-0.326111,0.143506,0.023059,0.721725
clinic4_imata_fpca,CKD,intercept,-0.807595,0.367692,0.028064,0.445929
clinic4_imata_fpca,CKD,sex_M,1.511472,0.582286,0.009438,4.533397
clinic4_imata_fpca,CKD,age,0.609764,0.24665,0.013429,1.839997
clinic4_imata_fpca,CKD,height,0.12192,0.327199,0.709433,1.129664
clinic4_imata_fpca,CKD,weight,-0.058233,0.299234,0.845701,0.94343
clinic4_imata_fpca,CKD,imata_fpca_pc1,0.697491,0.26783,0.009208,2.008708
clinic4_imata_fpca,CKD,imata_fpca_pc2,0.008749,0.238608,0.97075,1.008788
clinic4_imata_fpca,CKD,imata_fpca_pc3,0.308584,0.213905,0.149127,1.361496
clinic4_nama_uplow_ratio,HTN,intercept,-0.647583,0.15808,4.2e-05,0.523309
clinic4_nama_uplow_ratio,HTN,sex_M,0.962172,0.310232,0.001926,2.617375
clinic4_nama_uplow_ratio,HTN,age,1.04472,0.131698,0.0,2.842603
clinic4_nama_uplow_ratio,HTN,height,-0.373878,0.160722,0.020006,0.688061
clinic4_nama_uplow_ratio,HTN,weight,0.583532,0.129536,7e-06,1.792358
clinic4_nama_uplow_ratio,HTN,nama_uplow_ratio,0.159499,0.11877,0.179299,1.172923
clinic4_nama_uplow_ratio,DM,intercept,-0.566435,0.199555,0.004533,0.567545
clinic4_nama_uplow_ratio,DM,sex_M,0.889441,0.396385,0.02484,2.433769
clinic4_nama_uplow_ratio,DM,age,0.6262,0.148008,2.3e-05,1.870489
clinic4_nama_uplow_ratio,DM,height,-0.724162,0.198371,0.000262,0.484731
clinic4_nama_uplow_ratio,DM,weight,0.763341,0.158735,2e-06,2.145431
clinic4_nama_uplow_ratio,DM,nama_uplow_ratio,0.07825,0.149892,0.601639,1.081393
clinic4_nama_uplow_ratio,CKD,intercept,-1.039702,0.335281,0.001929,0.35356
clinic4_nama_uplow_ratio,CKD,sex_M,1.115176,0.584026,0.056203,3.050106
clinic4_nama_uplow_ratio,CKD,age,0.773282,0.235326,0.001016,2.166866
clinic4_nama_uplow_ratio,CKD,height,-0.03431,0.297958,0.908326,0.966272
clinic4_nama_uplow_ratio,CKD,weight,0.437282,0.241782,0.070516,1.548493
clinic4_nama_uplow_ratio,CKD,nama_uplow_ratio,-0.008396,0.207291,0.967693,0.99164
clinic4_nama_fpca,HTN,intercept,-0.729997,0.1755,3.2e-05,0.48191
clinic4_nama_fpca,HTN,sex_M,1.660904,0.347161,2e-06,5.264069
clinic4_nama_fpca,HTN,age,0.82581,0.138538,0.0,2.28373
clinic4_nama_fpca,HTN,height,-0.298096,0.165076,0.070947,0.74223
clinic4_nama_fpca,HTN,weight,0.689611,0.144788,2e-06,1.992941
clinic4_nama_fpca,HTN,nama_fpca_pc1,-0.551018,0.165482,0.000869,0.576363
clinic4_nama_fpca,HTN,nama_fpca_pc2,-0.110137,0.107125,0.303896,0.895711
clinic4_nama_fpca,DM,intercept,-0.58191,0.219353,0.007982,0.55883
clinic4_nama_fpca,DM,sex_M,1.279808,0.422097,0.002429,3.59595
clinic4_nama_fpca,DM,age,0.471137,0.157221,0.00273,1.601815
clinic4_nama_fpca,DM,height,-0.662753,0.208214,0.001457,0.51543
clinic4_nama_fpca,DM,weight,0.828643,0.181647,5e-06,2.29021
clinic4_nama_fpca,DM,nama_fpca_pc1,-0.307104,0.197833,0.120581,0.735574
clinic4_nama_fpca,DM,nama_fpca_pc2,-0.004651,0.131116,0.971701,0.99536
clinic4_nama_fpca,CKD,intercept,-0.69866,0.393466,0.07579,0.497251
clinic4_nama_fpca,CKD,sex_M,1.257666,0.63774,0.048602,3.517203
clinic4_nama_fpca,CKD,age,0.767913,0.252867,0.002391,2.155263
clinic4_nama_fpca,CKD,height,0.03549,0.31022,0.908918,1.036127
clinic4_nama_fpca,CKD,weight,0.424643,0.248106,0.086981,1.529044
clinic4_nama_fpca,CKD,nama_fpca_pc1,-0.281972,0.281602,0.316675,0.754295
clinic4_nama_fpca,CKD,nama_fpca_pc2,0.334186,0.204988,0.103045,1.396802
clinic4_lama_uplow_ratio,HTN,intercept,-0.742711,0.156745,2e-06,0.475822
clinic4_lama_uplow_ratio,HTN,sex_M,1.211692,0.30297,6.4e-05,3.359162
clinic4_lama_uplow_ratio,HTN,age,0.962607,0.120927,0.0,2.618515
clinic4_lama_uplow_ratio,HTN,height,-0.393099,0.161292,0.014802,0.674962
clinic4_lama_uplow_ratio,HTN,weight,0.590775,0.12953,5e-06,1.805386
clinic4_lama_uplow_ratio,HTN,lama_uplow_ratio,-0.093707,0.104781,0.371154,0.91055
clinic4_lama_uplow_ratio,DM,intercept,-0.617809,0.19941,0.001947,0.539124
clinic4_lama_uplow_ratio,DM,sex_M,1.033476,0.377818,0.006231,2.81082
clinic4_lama_uplow_ratio,DM,age,0.587525,0.135265,1.4e-05,1.79953
clinic4_lama_uplow_ratio,DM,height,-0.726168,0.198533,0.000255,0.483759
clinic4_lama_uplow_ratio,DM,weight,0.761363,0.15884,2e-06,2.141193
clinic4_lama_uplow_ratio,DM,lama_uplow_ratio,-0.060261,0.131846,0.647631,0.941519
clinic4_lama_uplow_ratio,CKD,intercept,-1.156919,0.338307,0.000627,0.314453
clinic4_lama_uplow_ratio,CKD,sex_M,1.425744,0.575427,0.013223,4.160954
clinic4_lama_uplow_ratio,CKD,age,0.727948,0.20874,0.000488,2.070827
clinic4_lama_uplow_ratio,CKD,height,-0.062408,0.301703,0.836124,0.939499
clinic4_lama_uplow_ratio,CKD,weight,0.445454,0.242524,0.066248,1.561199
clinic4_lama_uplow_ratio,CKD,lama_uplow_ratio,-0.348034,0.214587,0.104829,0.706075
clinic4_lama_fpca,HTN,intercept,-0.523414,0.163925,0.001408,0.592494
clinic4_lama_fpca,HTN,sex_M,1.155555,0.30555,0.000156,3.175787
clinic4_lama_fpca,HTN,age,0.833286,0.130652,0.0,2.300866
clinic4_lama_fpca,HTN,height,-0.344764,0.162929,0.034342,0.708388
clinic4_lama_fpca,HTN,weight,0.397335,0.148647,0.007517,1.487855
clinic4_lama_fpca,HTN,lama_fpca_pc1,0.365398,0.133855,0.006337,1.441088
