disease,cohort,n,n_pos,prevalence,best_C,auc_mean,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,model
HTN,internal,155,77,0.4967741935483871,0.31622776601683794,0.8288378288378287,,,,0.529553269252936,0.7012987012987013,0.7307692307692307,0.7161290322580646,clinic4_aec_uplow_ratio
HTN,external_sinchon,1123,507,0.4514692787177204,0.31622776601683794,0.7222553087937704,,0.6930668340883313,0.7540950495853389,0.529553269252936,0.6804733727810651,0.6396103896103896,0.6580587711487088,clinic4_aec_uplow_ratio
HTN,external_new10000,6421,1245,0.1938950319264912,0.31622776601683794,0.6564556525949238,,0.6399830781228157,0.6716762390201135,0.529553269252936,0.6048192771084338,0.6211360123647605,0.6179722784612989,clinic4_aec_uplow_ratio
DM,internal,94,47,0.5,0.31622776601683794,0.7415119963784519,,,,0.6274659721517388,0.46808510638297873,0.7872340425531915,0.6276595744680851,clinic4_aec_uplow_ratio
DM,external_sinchon,1123,335,0.2983081032947462,0.31622776601683794,0.6825289794681415,,0.6501936898922155,0.7165061933952497,0.6274659721517388,0.47761194029850745,0.7804568527918782,0.6901157613535174,clinic4_aec_uplow_ratio
DM,external_new10000,6421,676,0.10527955147173337,0.31622776601683794,0.6491150009527193,,0.6281214111944236,0.6713553910478799,0.6274659721517388,0.378698224852071,0.7803307223672759,0.738047033172403,clinic4_aec_uplow_ratio
CKD,internal,42,21,0.5,0.1,0.6643990929705215,,,,0.5106992147277144,0.6190476190476191,0.6666666666666666,0.6428571428571429,clinic4_aec_uplow_ratio
CKD,external_sinchon,1123,188,0.1674087266251113,0.1,0.6368642621458642,,0.5911614403637553,0.6808164704624495,0.5106992147277144,0.5585106382978723,0.6181818181818182,0.6081923419412288,clinic4_aec_uplow_ratio
HTN,internal,155,77,0.4967741935483871,10.0,0.8318348318348318,,,,0.47525282431383725,0.7792207792207793,0.7307692307692307,0.7548387096774194,clinic4_aec_fpca
HTN,external_sinchon,1123,507,0.4514692787177204,10.0,0.7188100361177283,,0.6902366713019548,0.7498875035810838,0.47525282431383725,0.6272189349112426,0.6866883116883117,0.659839715048976,clinic4_aec_fpca
HTN,external_new10000,6421,1245,0.1938950319264912,10.0,0.6539949597462493,,0.6379878505139586,0.669821448207644,0.47525282431383725,0.6393574297188755,0.5873261205564142,0.5974147329076468,clinic4_aec_fpca
DM,internal,94,47,0.5,0.31622776601683794,0.7682209144409236,,,,0.6872478482156558,0.3829787234042553,0.8936170212765957,0.6382978723404256,clinic4_aec_fpca
DM,external_sinchon,1123,335,0.2983081032947462,0.31622776601683794,0.6826236836123948,,0.6498551151999653,0.7163500599192875,0.6872478482156558,0.2746268656716418,0.8807106598984772,0.6999109528049866,clinic4_aec_fpca
DM,external_new10000,6421,676,0.10527955147173337,0.31622776601683794,0.6507508458603055,,0.6293168390797815,0.6726349337727441,0.6872478482156558,0.25,0.8727589208006963,0.8071951409437782,clinic4_aec_fpca
CKD,internal,42,21,0.5,0.31622776601683794,0.6621315192743764,,,,0.5258653876053554,0.6190476190476191,0.6666666666666666,0.6428571428571429,clinic4_aec_fpca
CKD,external_sinchon,1123,188,0.1674087266251113,0.31622776601683794,0.6256798270565479,,0.581055627037617,0.6693028587844038,0.5258653876053554,0.4627659574468085,0.7005347593582888,0.6607301869991096,clinic4_aec_fpca
HTN,internal,155,77,0.4967741935483871,10.0,0.828005328005328,,,,0.5550061506163119,0.6883116883116883,0.8076923076923077,0.7483870967741936,clinic4_vat_uplow_ratio
HTN,external_sinchon,1123,507,0.4514692787177204,10.0,0.7214100002561541,,0.6922454700019065,0.7520273462990801,0.5550061506163119,0.6706114398422091,0.6688311688311688,0.6696349065004452,clinic4_vat_uplow_ratio
HTN,external_new10000,6421,1245,0.1938950319264912,10.0,0.665861902012998,,0.6501836595473315,0.6808237862648813,0.5550061506163119,0.5485943775100401,0.6678902627511591,0.6447593832736334,clinic4_vat_uplow_ratio
DM,internal,94,47,0.5,31.622776601683793,0.6944318696242643,,,,0.5686677871152257,0.6595744680851063,0.6595744680851063,0.6595744680851063,clinic4_vat_uplow_ratio
DM,external_sinchon,1123,335,0.2983081032947462,31.622776601683793,0.6713690431093264,,0.637807055870304,0.7054397952612341,0.5686677871152257,0.5940298507462687,0.6624365482233503,0.6420302760463046,clinic4_vat_uplow_ratio
DM,external_new10000,6421,676,0.10527955147173337,31.622776601683793,0.6466703745474583,,0.6255594987312024,0.6682955100420391,0.5686677871152257,0.5133136094674556,0.6969538729329852,0.6776203083631833,clinic4_vat_uplow_ratio
CKD,internal,42,21,0.5,1.0,0.6190476190476191,,,,0.5447454926995436,0.5238095238095238,0.6666666666666666,0.5952380952380952,clinic4_vat_uplow_ratio
CKD,external_sinchon,1123,188,0.1674087266251113,1.0,0.624547730117192,,0.5792392284819987,0.66776699974992,0.5447454926995436,0.5106382978723404,0.6631016042780749,0.6375779162956366,clinic4_vat_uplow_ratio
HTN,internal,155,77,0.4967741935483871,31.622776601683793,0.8186813186813187,,,,0.5042003164717918,0.7402597402597403,0.6923076923076923,0.7161290322580646,clinic4_vat_fpca
HTN,external_sinchon,1123,507,0.4514692787177204,31.622776601683793,0.7173211403980635,,0.6880527441829641,0.7468026405358456,0.5042003164717918,0.6923076923076923,0.6493506493506493,0.6687444345503116,clinic4_vat_fpca
HTN,external_new10000,6421,1245,0.1938950319264912,31.622776601683793,0.6699363140351203,,0.6542478034582218,0.6854739780648317,0.5042003164717918,0.5895582329317269,0.6402627511591963,0.6304313969786638,clinic4_vat_fpca
DM,internal,94,47,0.5,10.0,0.7043911272068809,,,,0.6008771880048919,0.5319148936170213,0.723404255319149,0.6276595744680851,clinic4_vat_fpca
DM,external_sinchon,1123,335,0.2983081032947462,10.0,0.6698310478066519,,0.6377933109278331,0.703380075091047,0.6008771880048919,0.47761194029850745,0.7423857868020305,0.6634016028495102,clinic4_vat_fpca
DM,external_new10000,6421,676,0.10527955147173337,10.0,0.6648183910887264,,0.6435805935731327,0.6857479496375929,0.6008771880048919,0.4467455621301775,0.7550913838120105,0.722628874007164,clinic4_vat_fpca
CKD,internal,42,21,0.5,3.1622776601683795,0.6281179138321996,,,,0.5801993034623257,0.42857142857142855,0.7142857142857143,0.5714285714285714,clinic4_vat_fpca
CKD,external_sinchon,1123,188,0.1674087266251113,3.1622776601683795,0.6244168847422915,,0.5809916704446686,0.6683121784225576,0.5801993034623257,0.4521276595744681,0.7090909090909091,0.666073018699911,clinic4_vat_fpca
HTN,internal,155,77,0.4967741935483871,1.0,0.8171828171828172,,,,0.4344896271004185,0.8051948051948052,0.6282051282051282,0.7161290322580646,clinic4_sat_uplow_ratio
HTN,external_sinchon,1123,507,0.4514692787177204,1.0,0.7156785522170137,,0.6858699363151617,0.7464526840156673,0.4344896271004185,0.7790927021696252,0.538961038961039,0.647373107747106,clinic4_sat_uplow_ratio
HTN,external_new10000,6421,1245,0.1938950319264912,1.0,0.6598677554111345,,0.6439093668357474,0.6751206967319549,0.4344896271004185,0.7325301204819277,0.5059891808346213,0.5499143435601931,clinic4_sat_uplow_ratio
DM,internal,94,47,0.5,0.31622776601683794,0.6966953372566773,,,,0.5267685543363152,0.7659574468085106,0.6382978723404256,0.7021276595744681,clinic4_sat_uplow_ratio
DM,external_sinchon,1123,335,0.2983081032947462,0.31622776601683794,0.6721342525948935,,0.6391513708289668,0.7077844209302335,0.5267685543363152,0.6238805970149254,0.6294416243654822,0.6277827248441674,clinic4_sat_uplow_ratio
