feature,feature_index,width,lambda,company_eta2,screen_score,min_p_loss,max_sens_loss,min_spec_gain,mean_spec_gain,min_ba_delta,mean_ba_delta,max_fisher_p,min_deesc_n,mean_deesc_event_rate,feature_family
smooth_norm__norm_slope_082_085_sd,451,0.7,0.7,0.10873871060692694,0.27472867038726206,0.0625,0.03875968992248058,0.0780437044745057,0.08470343392299688,0.022243464091829424,0.025297453395606916,2.392612936808167e-05,78,0.05103275311878776,signed_slope
smooth_visual__visual_norm_abs_slope_094_099_max,25,0.5,0.7,0.12901557244025474,0.2485327253184886,0.0625,0.03875968992248058,0.0718002081165453,0.07804370447450573,0.01860142454968572,0.02041720107446212,7.564749110554415e-05,73,0.060098681931537404,absolute_slope
smooth_visual__visual_norm_slope_082_087_sd,216,0.5,0.7,0.11953008675526021,0.22320054798983505,0.0625,0.03875968992248058,0.0655567117585848,0.07200832466181062,0.013398510918052109,0.017399511168114577,0.00058659907659442,68,0.0652537868446416,signed_slope
smooth_norm__norm_curv_103_110_mean,509,0.7,0.55,0.04938503855357004,0.21768820679184012,0.125,0.03100775193798455,0.06139438085327786,0.06763787721123829,0.01623389718397339,0.020640644031975696,0.00043909707265939895,62,0.05027104388439001,curvature
smooth_norm__norm_curv_097_100_sd,26,0.7,0.55,0.23981046954322788,0.2127120231272317,0.0625,0.03875968992248069,0.06451612903225812,0.07055150884495318,0.012878219554888659,0.015895909461236247,0.0005892967468921862,67,0.06903108908432312,curvature
smooth_norm__norm_curv_082_097_min,491,0.7,0.55,0.32986683447485776,0.20933287289442776,0.0625,0.03875968992248069,0.06347554630593133,0.07159209157127992,0.01623389718397339,0.0202921698166477,5.438717152176026e-05,65,0.05499527077337949,curvature
smooth_visual__visual_norm_curv_103_120_sd,372,0.5,0.55,0.5678502951727138,0.20869296628904543,0.0625,0.03875968992248069,0.06763787721123826,0.07221644120707596,0.016520259097032253,0.01827876323919686,0.00018285872070417325,69,0.062083957510600085,curvature
smooth_visual__visual_norm_curv_091_100_min,292,0.35,0.7,0.26201283734485786,0.20483811701602628,0.0625,0.03875968992248069,0.06347554630593133,0.0668054110301769,0.01235792819172532,0.017123635747646526,0.00030312282626535547,66,0.061616161616161624,curvature
smooth_visual__visual_norm_abs_slope_082_087_sd,394,0.7,0.55,0.10045097330587363,0.1972034110504417,0.0625,0.03875968992248058,0.05827263267429761,0.06534859521331945,0.010797054102235193,0.014844840242318625,0.0005950233177993131,60,0.06880341880341881,absolute_slope
smooth_norm__norm_slope_091_102_sd,557,0.35,0.55,0.25486573451541933,0.1865690413562496,0.0625,0.03875968992248069,0.05827263267429761,0.06285119667013528,0.010276762739071965,0.015146528567625727,0.0007514831679171824,59,0.06497945069970928,signed_slope
smooth_visual__visual_norm_abs_slope_091_100_mean,79,0.7,0.4,0.06718550958574113,0.17701444698358676,0.0625,0.03875968992248069,0.054110301768990676,0.05639958376690948,0.007675305923254938,0.0134711097129121,0.0010133039233206284,55,0.06560583824489899,absolute_slope
smooth_visual__visual_mid_flatness__early_025_056__mid_061_076__tail_113_124,520,0.35,0.55,0.051616989163320796,0.17685634855101365,0.0625,0.03875968992248069,0.05306971904266389,0.058480749219562964,0.007155014560091599,0.010635723446990774,0.0035019499643216706,56,0.07893028120073278,shape_contrast
smooth_visual__visual_norm_abs_slope_097_102_sd,387,0.35,0.55,0.19860654363711092,0.16857034637362994,0.0625,0.03875968992248069,0.0520291363163371,0.05889698231009366,0.008715888649581727,0.01084383999225611,0.005226454366395111,54,0.07835738867426413,absolute_slope
smooth_norm__logcontrast_log_tail_114_128_minus_log_trough_060_095,534,0.7,0.4,0.032963387840620015,0.167799434444412,0.0625,0.03875968992248069,0.05098855359001042,0.054526534859521324,0.006114431833764922,0.008658616266969931,0.015248057355440697,54,0.08472231472231473,shape_contrast
smooth_visual__visual_norm_slope_112_125_max,194,0.5,0.4,0.3455442412065544,0.1658020254909957,0.0625,0.03875968992248069,0.054110301768990676,0.05785639958376694,0.009236180012745177,0.011873936225991954,0.007544960740157527,55,0.07286687689704932,signed_slope
smooth_visual__visual_norm_abs_slope_094_103_max,128,0.7,0.4,0.18044011662286707,0.16209053036742244,0.0625,0.03875968992248069,0.05098855359001042,0.05619146722164412,0.006114431833764922,0.011041470044930567,0.006095919645499609,53,0.07605265014991755,absolute_slope
smooth_norm__norm_haar_b08_105_120,583,0.7,0.4,0.04923596646337937,0.1607423091553135,0.0625,0.03875968992248069,0.048907388137356955,0.05306971904266389,0.0066347231969281495,0.011030983552339646,0.007616063010177399,51,0.07265446760702927,haar
smooth_norm__norm_haar_b02_111_114,539,0.7,0.4,0.039129505933155145,0.1595952029454834,0.125,0.03100775193798455,0.0457856399583767,0.05202913631633714,0.011264913002444144,0.014386661181424353,0.0037446984921517983,47,0.056046928975537535,haar
