rank,original_feature_index,feature
477,2651,smooth_norm__log_haar_b12_101_124
478,651,smooth_norm__norm_slope_094_105_sd
479,571,smooth_norm__norm_slope_094_101_sd
480,1934,smooth_norm__norm_curv_094_109_min
481,8846,smooth_visual__visual_mid_flatness__early_033_064__mid_057_080__tail_109_120
482,12759,smooth_visual__visual_norm_curv_103_112_min
483,1473,smooth_norm__norm_curv_109_112_sd
484,1927,smooth_norm__norm_curv_088_103_max
485,13203,smooth_visual__visual_norm_curv_094_117_min
486,2082,smooth_norm__norm_curv_094_117_min
487,931,smooth_norm__log_slope_082_085_sd
488,2079,smooth_norm__norm_curv_091_114_max
489,13200,smooth_visual__visual_norm_curv_091_114_max
490,10962,smooth_visual__visual_norm_slope_094_103_sd
491,2873,smooth_norm__ratio_tail_120_128_over_late_091_113
492,1918,smooth_norm__norm_curv_082_097_min
493,1099,smooth_norm__log_slope_088_099_sd
494,12023,smooth_visual__visual_norm_abs_slope_100_113_min
495,11863,smooth_visual__visual_norm_abs_slope_100_109_min
496,12748,smooth_visual__visual_norm_curv_094_103_max
497,8416,smooth_visual__visual_mid_flatness__early_033_048__mid_053_084__tail_113_124
498,10546,smooth_visual__visual_mid_flatness__early_049_064__mid_065_088__tail_101_120
499,1602,smooth_norm__norm_curv_082_089_min
500,1782,smooth_norm__norm_curv_097_108_min
501,10474,smooth_visual__visual_mid_flatness__early_049_064__mid_057_080__tail_101_120
502,2842,smooth_norm__contrast_tail_114_128_minus_trough_060_095
503,10824,smooth_visual__visual_norm_slope_112_117_max
504,12444,smooth_visual__visual_norm_abs_slope_085_116_max
505,11854,smooth_visual__visual_norm_abs_slope_094_103_sd
506,2985,smooth_norm__rough_sd_d1_recover_081_113
507,2852,smooth_norm__contrast_tail_114_128_minus_troughcore_070_085
508,10522,smooth_visual__visual_mid_flatness__early_049_064__mid_061_092__tail_101_120
509,1475,smooth_norm__norm_curv_109_112_max
510,1628,smooth_norm__norm_curv_103_110_mean
511,5080,smooth_visual__visual_mid_flatness__early_009_040__mid_045_076__tail_113_124
512,2595,smooth_norm__log_haar_b08_103_118
513,7120,smooth_visual__visual_mid_flatness__early_025_040__mid_045_076__tail_113_124
514,12006,smooth_visual__visual_norm_abs_slope_088_101_sd
515,2699,smooth_norm__log_haar_b16_091_122
516,11425,smooth_visual__visual_norm_slope_097_120_mean
517,806,smooth_norm__norm_slope_097_120_mean
518,12907,smooth_visual__visual_norm_curv_097_110_min
519,2923,smooth_norm__logcontrast_log_tail_114_128_minus_log_recover_075_090
520,10570,smooth_visual__visual_mid_flatness__early_049_064__mid_069_084__tail_101_120
521,7648,smooth_visual__visual_mid_flatness__early_025_056__mid_061_076__tail_113_124
522,1757,smooth_norm__norm_curv_079_090_sd
523,561,smooth_norm__norm_slope_079_086_sd
524,1177,smooth_norm__log_slope_088_103_sd
525,10142,smooth_visual__visual_mid_flatness__early_045_060__mid_065_088__tail_109_120
526,11120,smooth_visual__visual_norm_slope_091_104_max
527,10166,smooth_visual__visual_mid_flatness__early_045_060__mid_069_084__tail_109_120
528,2919,smooth_norm__logcontrast_log_tail_114_128_minus_log_troughcore_070_085
529,5488,smooth_visual__visual_mid_flatness__early_013_036__mid_045_076__tail_113_124
530,10118,smooth_visual__visual_mid_flatness__early_045_060__mid_061_092__tail_109_120
531,658,smooth_norm__norm_slope_106_117_mean
532,11137,smooth_visual__visual_norm_slope_106_119_mean
533,11285,smooth_visual__visual_norm_slope_103_120_mean
534,12886,smooth_visual__visual_norm_curv_082_095_sd
535,2914,smooth_norm__logcontrast_log_tail_114_128_minus_log_trough_060_095
536,12176,smooth_visual__visual_norm_abs_slope_100_117_max
537,2534,smooth_norm__log_haar_b04_103_110
538,1923,smooth_norm__norm_curv_085_100_max
539,1639,smooth_norm__norm_curv_109_116_max
540,2151,smooth_norm__norm_haar_b02_111_114
541,1793,smooth_norm__norm_curv_106_117_sd
542,1188,smooth_norm__log_slope_106_121_mean
543,1627,smooth_norm__norm_curv_100_107_max
544,11129,smooth_visual__visual_norm_slope_100_113_mean
545,13039,smooth_visual__visual_norm_curv_082_099_min
546,6376,smooth_visual__visual_mid_flatness__early_017_048__mid_053_084__tail_113_124
547,4672,smooth_visual__visual_mid_flatness__early_009_024__mid_045_076__tail_113_124
548,2649,smooth_norm__log_haar_b12_097_120
549,5896,smooth_visual__visual_mid_flatness__early_017_032__mid_045_076__tail_113_124
550,3736,smooth_visual__visual_tail_minus_mid__tail_113_124__mid_081_096
551,1258,smooth_norm__log_slope_097_120_mean
552,12000,smooth_visual__visual_norm_abs_slope_082_095_max
553,485,smooth_norm__norm_slope_091_094_sd
554,13051,smooth_visual__visual_norm_curv_091_108_min
555,573,smooth_norm__norm_slope_097_104_sd
556,10600,smooth_visual__visual_mid_flatness__early_049_064__mid_069_100__tail_113_124
557,12293,smooth_visual__visual_norm_abs_slope_079_102_mean
558,649,smooth_norm__norm_slope_091_102_sd
559,3628,smooth_visual__visual_tail_minus_mid__tail_113_124__mid_069_100
560,12425,smooth_visual__visual_norm_abs_slope_073_104_mean
561,8032,smooth_visual__visual_mid_flatness__early_029_052__mid_057_080__tail_113_124
562,4264,smooth_visual__visual_mid_flatness__early_005_028__mid_045_076__tail_113_124
563,1597,smooth_norm__norm_curv_079_086_sd
564,12156,smooth_visual__visual_norm_abs_slope_085_102_max
565,2870,smooth_norm__contrast_tail_114_128_minus_late_091_113
566,12316,smooth_visual__visual_norm_abs_slope_094_117_max
567,2928,smooth_norm__logcontrast_log_tail_114_128_minus_log_late_091_113
568,1622,smooth_norm__norm_curv_097_104_min
569,647,smooth_norm__norm_slope_088_099_sd
570,12435,smooth_visual__visual_norm_abs_slope_079_110_min
571,1795,smooth_norm__norm_curv_106_117_max
572,496,smooth_norm__norm_slope_109_112_mean
573,1251,smooth_norm__log_slope_085_108_sd
574,2070,smooth_norm__norm_curv_085_108_min
575,13191,smooth_visual__visual_norm_curv_085_108_min
576,11277,smooth_visual__visual_norm_slope_097_114_mean
577,12177,smooth_visual__visual_norm_abs_slope_103_120_mean
578,2269,smooth_norm__norm_haar_b08_099_114
579,1913,smooth_norm__norm_curv_079_094_sd
580,9254,smooth_visual__visual_mid_flatness__early_037_060__mid_057_080__tail_109_120
581,12598,smooth_visual__visual_norm_curv_106_111_sd
582,2378,smooth_norm__norm_haar_b16_097_128
583,2702,smooth_norm__log_haar_b16_097_128
584,2272,smooth_norm__norm_haar_b08_105_120
585,2418,smooth_norm__norm_haar_b24_079_126
586,1186,smooth_norm__log_slope_103_118_mean
587,12149,smooth_visual__visual_norm_abs_slope_082_099_mean
588,12755,smooth_visual__visual_norm_curv_100_109_min
589,11710,smooth_visual__visual_norm_abs_slope_109_114_sd
590,870,smooth_norm__norm_slope_088_119_mean
591,11553,smooth_visual__visual_norm_slope_088_119_mean
592,10496,smooth_visual__visual_mid_flatness__early_049_064__mid_061_076__tail_097_124
593,1015,smooth_norm__log_slope_082_089_sd
594,3856,smooth_visual__visual_mid_flatness__early_001_032__mid_045_076__tail_113_124
595,12896,smooth_visual__visual_norm_curv_088_101_max
596,2927,smooth_norm__logcontrast_log_tail_120_128_minus_log_recover_081_113
597,3664,smooth_visual__visual_tail_minus_mid__tail_113_124__mid_073_096
598,10042,smooth_visual__visual_mid_flatness__early_045_060__mid_053_084__tail_101_120
599,12766,smooth_visual__visual_norm_curv_109_118_sd
600,8870,smooth_visual__visual_mid_flatness__early_033_064__mid_061_076__tail_109_120
