rank,original_feature_index,feature
105,10988,smooth_visual__visual_norm_slope_112_121_max
106,1779,smooth_norm__norm_curv_094_105_max
107,11552,smooth_visual__visual_norm_slope_085_116_max
108,12306,smooth_visual__visual_norm_abs_slope_088_111_sd
109,12171,smooth_visual__visual_norm_abs_slope_097_114_min
110,11697,smooth_visual__visual_norm_abs_slope_100_105_mean
111,731,smooth_norm__norm_slope_097_112_sd
112,1623,smooth_norm__norm_curv_097_104_max
113,2954,smooth_norm__tail_114_128_argmax
114,12008,smooth_visual__visual_norm_abs_slope_088_101_max
115,12012,smooth_visual__visual_norm_abs_slope_091_104_max
116,13059,smooth_visual__visual_norm_curv_097_114_min
117,12900,smooth_visual__visual_norm_curv_091_104_max
118,12018,smooth_visual__visual_norm_abs_slope_097_110_sd
119,11412,smooth_visual__visual_norm_slope_085_108_max
120,11134,smooth_visual__visual_norm_slope_103_116_sd
121,11130,smooth_visual__visual_norm_slope_100_113_sd
122,11858,smooth_visual__visual_norm_abs_slope_097_106_sd
123,1255,smooth_norm__log_slope_091_114_sd
124,12310,smooth_visual__visual_norm_abs_slope_091_114_sd
125,653,smooth_norm__norm_slope_097_108_sd
126,12162,smooth_visual__visual_norm_abs_slope_091_108_sd
127,10820,smooth_visual__visual_norm_slope_109_114_max
128,12592,smooth_visual__visual_norm_curv_100_105_max
129,11856,smooth_visual__visual_norm_abs_slope_094_103_max
130,11274,smooth_visual__visual_norm_slope_094_111_sd
131,11296,smooth_visual__visual_norm_slope_109_126_max
132,11126,smooth_visual__visual_norm_slope_097_110_sd
133,11540,smooth_visual__visual_norm_slope_076_107_max
134,11862,smooth_visual__visual_norm_abs_slope_100_109_sd
135,1107,smooth_norm__log_slope_100_111_sd
136,12436,smooth_visual__visual_norm_abs_slope_079_110_max
137,11544,smooth_visual__visual_norm_slope_079_110_max
138,1181,smooth_norm__log_slope_094_109_sd
139,9640,smooth_visual__visual_mid_flatness__early_041_056__mid_053_084__tail_113_124
140,10144,smooth_visual__visual_mid_flatness__early_045_060__mid_065_088__tail_113_124
141,1937,smooth_norm__norm_curv_097_112_sd
142,8848,smooth_visual__visual_mid_flatness__early_033_064__mid_057_080__tail_113_124
143,13048,smooth_visual__visual_norm_curv_088_105_max
144,655,smooth_norm__norm_slope_100_111_sd
145,13058,smooth_visual__visual_norm_curv_097_114_sd
146,2078,smooth_norm__norm_curv_091_114_min
147,13199,smooth_visual__visual_norm_curv_091_114_min
148,13188,smooth_visual__visual_norm_curv_082_105_max
149,2067,smooth_norm__norm_curv_082_105_max
150,11869,smooth_visual__visual_norm_abs_slope_106_115_mean
151,11282,smooth_visual__visual_norm_slope_100_117_sd
152,11422,smooth_visual__visual_norm_slope_094_117_sd
153,805,smooth_norm__norm_slope_094_117_sd
154,12170,smooth_visual__visual_norm_abs_slope_097_114_sd
155,10096,smooth_visual__visual_mid_flatness__early_045_060__mid_061_076__tail_113_124
156,10526,smooth_visual__visual_mid_flatness__early_049_064__mid_061_092__tail_109_120
157,657,smooth_norm__norm_slope_103_114_sd
158,11418,smooth_visual__visual_norm_slope_091_114_sd
159,803,smooth_norm__norm_slope_091_114_sd
160,12005,smooth_visual__visual_norm_abs_slope_088_101_mean
161,2148,smooth_norm__norm_haar_b02_105_108
162,11866,smooth_visual__visual_norm_abs_slope_103_112_sd
163,1027,smooth_norm__log_slope_100_107_sd
164,12587,smooth_visual__visual_norm_curv_097_102_min
165,2065,smooth_norm__norm_curv_082_105_sd
166,13186,smooth_visual__visual_norm_curv_082_105_sd
167,1931,smooth_norm__norm_curv_091_106_max
168,11706,smooth_visual__visual_norm_abs_slope_106_111_sd
169,12752,smooth_visual__visual_norm_curv_097_106_max
170,12167,smooth_visual__visual_norm_abs_slope_094_111_min
171,10478,smooth_visual__visual_mid_flatness__early_049_064__mid_057_080__tail_109_120
172,2472,smooth_norm__log_haar_b02_105_108
173,10046,smooth_visual__visual_mid_flatness__early_045_060__mid_053_084__tail_109_120
174,2077,smooth_norm__norm_curv_091_114_sd
175,13198,smooth_visual__visual_norm_curv_091_114_sd
176,10550,smooth_visual__visual_mid_flatness__early_049_064__mid_065_088__tail_109_120
177,11702,smooth_visual__visual_norm_abs_slope_103_108_sd
178,9256,smooth_visual__visual_mid_flatness__early_037_060__mid_057_080__tail_113_124
179,12317,smooth_visual__visual_norm_abs_slope_097_120_mean
180,12311,smooth_visual__visual_norm_abs_slope_091_114_min
181,10970,smooth_visual__visual_norm_slope_100_109_sd
182,2061,smooth_norm__norm_curv_079_102_sd
183,13182,smooth_visual__visual_norm_curv_079_102_sd
184,12300,smooth_visual__visual_norm_abs_slope_082_105_max
185,12750,smooth_visual__visual_norm_curv_097_106_sd
186,575,smooth_norm__norm_slope_100_107_sd
187,13204,smooth_visual__visual_norm_curv_094_117_max
188,2083,smooth_norm__norm_curv_094_117_max
189,11867,smooth_visual__visual_norm_abs_slope_103_112_min
190,10168,smooth_visual__visual_mid_flatness__early_045_060__mid_069_084__tail_113_124
191,1781,smooth_norm__norm_curv_097_108_sd
192,13054,smooth_visual__visual_norm_curv_094_111_sd
193,1947,smooth_norm__norm_curv_103_118_max
194,1941,smooth_norm__norm_curv_100_115_sd
195,11148,smooth_visual__visual_norm_slope_112_125_max
196,945,smooth_norm__log_slope_103_106_sd
197,729,smooth_norm__norm_slope_094_109_sd
198,13064,smooth_visual__visual_norm_curv_100_117_max
199,10978,smooth_visual__visual_norm_slope_106_115_sd
200,8872,smooth_visual__visual_mid_flatness__early_033_064__mid_061_076__tail_113_124
201,10966,smooth_visual__visual_norm_slope_097_106_sd
