dataset,rule,features,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_delta,clinical_balanced_accuracy,post_balanced_accuracy,balanced_accuracy_delta,clinical_positive_n,clinical_positive_events,clinical_positive_event_rate,deesc_n,deesc_events,deesc_event_rate,fp_removed,tp_lost,sensitivity_loss_p_exact,specificity_gain_p_exact,accuracy_delta_p_mcnemar,deesc_event_fisher_p,subset_indices,lock_selection_score
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_abs_slope_094_099_max,S80,0.8062015503875969,0.8062015503875969,0.0,0.696149843912591,0.7398543184183143,0.043704474505723234,0.7091743119266055,0.7477064220183486,0.038532110091743066,0.751175697150094,0.7730279344029556,0.02185223725286156,396,104,0.26262626262626265,42,0,0.0,42,0,,4.547473508864641e-13,4.547473508864641e-13,2.559034521038704e-06,0|1,0.19143718821397665
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_abs_slope_094_099_max,S82.5,0.8294573643410853,0.8217054263565892,0.007751937984496138,0.6753381893860562,0.7190426638917794,0.043704474505723234,0.6935779816513762,0.7311926605504587,0.03761467889908254,0.7523977768635708,0.7703740451241843,0.017976268260613493,419,107,0.2553699284009546,43,1,0.023255813953488372,42,1,1.0,4.547473508864641e-13,1.000444171950221e-11,3.237241977575237e-05,0|1,0.19143718821397665
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_abs_slope_094_099_max,S85,0.8527131782945736,0.8372093023255814,0.015503875968992165,0.6399583766909469,0.6826222684703434,0.042663891779396446,0.6651376146788991,0.7009174311926606,0.0357798165137615,0.7463357774927603,0.7599157853979623,0.013580007905202085,456,110,0.2412280701754386,43,2,0.046511627906976744,41,2,0.5,9.094947017729282e-13,2.1532287064474076e-10,0.0006528163933042962,0|1,0.19143718821397665
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_abs_slope_094_099_max,S87.5,0.875968992248062,0.8682170542635659,0.007751937984496138,0.5775234131113424,0.6170655567117586,0.03954214360041619,0.6128440366972477,0.6467889908256881,0.03394495412844034,0.7267462026797022,0.7426413054876622,0.015895102807959915,519,113,0.21772639691714837,39,1,0.02564102564102564,38,1,1.0,7.275957614183426e-12,1.4551915228366852e-10,0.0009505781608548467,0|1,0.19143718821397665
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_visual__visual_norm_abs_slope_094_099_max,S90,0.9069767441860465,0.8914728682170543,0.015503875968992165,0.5275754422476587,0.5733610822060354,0.0457856399583767,0.5724770642201835,0.6110091743119266,0.038532110091743066,0.7172760932168526,0.7324169752115448,0.015140881994692212,571,117,0.20490367775831875,46,2,0.043478260869565216,44,2,0.5,1.1368683772161603e-13,3.0752289603697136e-11,0.0034837667946365242,0|1,0.19143718821397665
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_norm__norm_curv_103_110_mean,S80,0.8062015503875969,0.7984496124031008,0.007751937984496138,0.696149843912591,0.7263267429760666,0.030176899063475537,0.7091743119266055,0.7348623853211009,0.025688073394495414,0.751175697150094,0.7623881776895837,0.011212480539489644,396,104,0.26262626262626265,30,1,0.03333333333333333,29,1,1.0,3.725290298461914e-09,5.774199962615967e-08,0.0018394323476572745,0|3,0.14820149504155436
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_norm__norm_curv_103_110_mean,S82.5,0.8294573643410853,0.8217054263565892,0.007751937984496138,0.6753381893860562,0.7075962539021852,0.032258064516129004,0.6935779816513762,0.7211009174311926,0.02752293577981646,0.7523977768635708,0.7646508401293872,0.012253063265816433,419,107,0.2553699284009546,32,1,0.03125,31,1,1.0,9.313225746154785e-10,1.5366822481155396e-08,0.0011515262001770368,0|3,0.14820149504155436
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_norm__norm_curv_103_110_mean,S85,0.8527131782945736,0.8372093023255814,0.015503875968992165,0.6399583766909469,0.6732570239334027,0.03329864724245579,0.6651376146788991,0.6926605504587156,0.02752293577981646,0.7463357774927603,0.7552331631294921,0.008897385636731814,456,110,0.2412280701754386,34,2,0.058823529411764705,32,2,0.5,4.656612873077393e-10,6.938353180885315e-08,0.006537652504093289,0|3,0.14820149504155436
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_norm__norm_curv_103_110_mean,S87.5,0.875968992248062,0.875968992248062,0.0,0.5775234131113424,0.6118626430801248,0.03433922996878247,0.6128440366972477,0.6431192660550459,0.03027522935779814,0.7267462026797022,0.7439158176640934,0.01716961498439118,519,113,0.21772639691714837,33,0,0.0,33,0,,2.3283064365386963e-10,2.3283064365386963e-10,0.00032014210658841186,0|3,0.14820149504155436
gangnam_internal,2-of-2,smooth_norm__norm_slope_082_085_sd + smooth_norm__norm_curv_103_110_mean,S90,0.9069767441860465,0.8914728682170543,0.015503875968992165,0.5275754422476587,0.562955254942768,0.03537981269510926,0.5724770642201835,0.6018348623853211,0.029357798165137616,0.7172760932168526,0.7272140615799112,0.009937968363058602,571,117,0.20490367775831875,36,2,0.05555555555555555,34,2,0.5,1.1641532182693481e-10,1.941225491464138e-08,0.018399126710406066,0|3,0.14820149504155436
