feature,cohort,auc_dropout00,auc_dropout03,diff_00_minus_03,z,p_value
HTN,internal,0.8054503848554192,0.8013521947160391,0.004098190139379954,1.8813289271079314,0.05992718837100862
HTN,external,0.7331866851097619,0.7329977714593099,0.00018891365045203834,0.09957392229371682,0.9206825979040381
DM,internal,0.7214098646879092,0.7291953463385152,-0.0077854816506059965,-1.3092115584912942,0.19046269800937088
DM,external,0.6561254640503068,0.6541745586786879,0.0019509053716191271,0.7801640795260067,0.4352943024922371
CKD,internal,0.7323512420566146,0.7498225633407609,-0.01747132128414619,-1.5740080175111903,0.11548559590772546
CKD,external,0.6173967459324154,0.6204005006257822,-0.003003754693366667,-0.40147396286030834,0.688071204127207
