feature,n_fpca,r2_internal,r2_external
VAT_TotalFat_ratio,3,0.6977145829329414,0.5948785150306067
VAT_SAT_ratio,3,0.6458376693356775,0.5131459433851251
VAT_TAMA_ratio,3,0.4755047165923595,0.3677949832701647
TotalFat_TAMA_ratio,3,0.4060392218885208,0.4818334959405116
SAT_TotalFat_ratio,3,0.6977145829329405,0.5948785150306023
SAT_TAMA_ratio,3,0.4449221063265437,0.5719976181567592
VAT(내장지방)_SUM,3,0.6132746676953629,0.4915194819392894
SAT(피하지방)_SUM,3,0.5683257815832666,0.535801013255214
Total Fat_SUM,3,0.5738087363111958,0.48943377122789933
VAT_TotalFat_ratio,12,0.7024616863694808,0.5980531336012644
VAT_SAT_ratio,12,0.6459612032476516,0.5131702667664946
VAT_TAMA_ratio,12,0.4954012646381557,0.3890972394092893
TotalFat_TAMA_ratio,12,0.4170320269092359,0.49920575239938214
SAT_TotalFat_ratio,12,0.7024616863694824,0.5980531336012657
SAT_TAMA_ratio,12,0.4490735997018137,0.5795157830761619
VAT(내장지방)_SUM,12,0.6196633113424804,0.5115557359302442
SAT(피하지방)_SUM,12,0.5823117389850205,0.5760217463548218
Total Fat_SUM,12,0.5860802194629686,0.5315917502189997
