cohort,sens_stage1,spec_stage1,sens_combined,spec_combined,acc_combined,ppv_combined,npv_combined,sens_delta,spec_delta,mcnemar_sens_p,mcnemar_spec_p,verdict
internal,0.9069767441860465,0.5359001040582726,0.8604651162790697,0.6451612903225806,0.6706422018348623,0.24557522123893805,0.9717868338557993,-0.046511627906976716,0.10926118626430803,0.03125,3.3354094725364916e-24,PASS
external,0.9290780141843972,0.49044585987261147,0.8936170212765957,0.5707006369426751,0.6198704103671706,0.27213822894168466,0.9676025917926566,-0.03546099290780147,0.08025477707006368,0.0625,5.661648490510967e-15,PASS
