comparison,n_group1,n_group2,mean_abs_between_group_difference,R1_group1_minus_group2,R2_group1_minus_group2,R3_group1_minus_group2,R4_group1_minus_group2
Clinical + vs Clinical -,571,519,0.02716386072011016,-0.0037103625832168217,-0.043882252114255914,0.006719730401963799,0.00724406429124827
Low SMI + vs Non-low SMI,129,961,0.017542292078976014,-0.007374157445080752,-0.029062447739663048,0.02021847806504486,0.034292266506968906
Clinical+/AEC- vs Clinical+/AEC+,518,53,0.011991669526381168,-0.013399363551934154,-0.005935305397878894,0.02208480787836385,0.02698664954621734
