figure,comparison,curve_type,group_col,groups,test,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value,n_matched_pairs,significant_p<0.05
16_aec_curve_tp_vs_tn.png,Stage-1 TP vs TN,p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,51.821928918934006,73,-65.00857627456838,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_dp.png,Stage-1 TP vs TN (dp),dp,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.6101529403540241,128,-1.8116812996774119,TP (true low-SMI) < TN (true negative),2000,0.0004997501249375312,,True
16_aec_curve_tp_vs_tn_d2p.png,Stage-1 TP vs TN (d2p),d2p,group,TP (true low-SMI) (n=117); TN (true negative) (n=514),whole-curve RMSD permutation,0.1618390781281373,105,0.45992907978316677,TP (true low-SMI) > TN (true negative),2000,0.005997001499250375,,True
17_aec_curve_fp_vs_tn.png,Stage-1 FP vs TN,p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,42.48699986936173,69,-54.02961855517515,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_dp.png,Stage-1 FP vs TN (dp),dp,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.4930610868388782,122,-1.3273124113197388,FP (false positive) < TN (true negative),2000,0.0004997501249375312,,True
17_aec_curve_fp_vs_tn_d2p.png,Stage-1 FP vs TN (d2p),d2p,group,FP (false positive) (n=447); TN (true negative) (n=514),whole-curve RMSD permutation,0.11074353250356722,118,-0.40744383220606006,FP (false positive) < TN (true negative),2000,0.0024987506246876563,,True
18_aec_curve_tp_vs_fp.png,Stage-1 TP vs FP,p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,10.077098529338727,1,-13.502151092755128,TP (true low-SMI) < FP (false positive),2000,0.27386306846576713,,False
18_aec_curve_tp_vs_fp_dp.png,Stage-1 TP vs FP (dp),dp,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.3253765193663264,122,0.9631979578959466,TP (true low-SMI) > FP (false positive),2000,0.3098450774612694,,False
18_aec_curve_tp_vs_fp_d2p.png,Stage-1 TP vs FP (d2p),d2p,group,TP (true low-SMI) (n=117); FP (false positive) (n=447),whole-curve RMSD permutation,0.13998936773830395,108,-0.4581329948947398,TP (true low-SMI) < FP (false positive),2000,0.33883058470764615,,False
19_aec_curve_tp_vs_fp_matched.png,Stage-1 TP vs FP (propensity-matched),p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,1.7798213214508407,105,-4.997731958762813,TP (true low-SMI) < FP (false positive),2000,0.9985007496251874,97.0,False
19_aec_curve_tp_vs_fp_matched_dp.png,Stage-1 TP vs FP (propensity-matched) (dp),dp,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.2742633843616169,103,-0.779072164948454,TP (true low-SMI) < FP (false positive),2000,0.9810094952523738,97.0,False
19_aec_curve_tp_vs_fp_matched_d2p.png,Stage-1 TP vs FP (propensity-matched) (d2p),d2p,group,TP (true low-SMI) (n=97); FP (false positive) (n=97),whole-curve RMSD permutation,0.183417861592251,105,0.6118556701030944,TP (true low-SMI) > FP (false positive),2000,0.41879060469765117,97.0,False
