group,n,events,prevalence,q1,q2
clinical_negative,485,17,0.03505154639175258,,
clinical_positive_aec_pca5_low_tertile,110,33,0.3,-0.09838625371358196,0.25194330977170937
clinical_positive_aec_pca5_middle_tertile,147,33,0.22448979591836735,-0.09838625371358196,0.25194330977170937
clinical_positive_aec_pca5_high_tertile,184,58,0.31521739130434784,-0.09838625371358196,0.25194330977170937
