model,threshold,cv_auc,test_auc,sensitivity,specificity,ppv,npv,tp,fn,tn,fp
classic_clinical_logistic_age_sex_height_weight,-0.32730675609187726,0.8221289193266058,0.8336088900935086,0.8794326241134752,0.5961783439490446,0.2811791383219955,0.9649484536082474,124,17,468,317
classic_aec_pca3_logistic,-0.13231802799454134,0.6341182069710977,0.5989700501422957,0.7730496453900709,0.35668789808917195,0.1775244299674267,0.8974358974358975,109,32,280,505
classic_clinical_plus_aec_pca3_logistic,-0.034455762063452806,0.6245674321806258,0.6079685594253964,0.6879432624113475,0.47006369426751593,0.18908382066276802,0.8934624697336562,97,44,369,416
classic_aec_pca5_logistic,-0.02094761311336505,0.633771346062322,0.6052310611193928,0.6666666666666666,0.44713375796178345,0.17803030303030304,0.8819095477386935,94,47,351,434
classic_clinical_plus_aec_pca5_logistic,-0.23321850943900008,0.6287136300204084,0.6011383656321995,0.6950354609929078,0.4369426751592357,0.1814814814814815,0.8886010362694301,98,43,343,442
classic_aec_pca8_logistic,-0.2297779939008715,0.6241237728787036,0.594841216063604,0.7375886524822695,0.4101910828025478,0.18342151675485008,0.8969359331476323,104,37,322,463
classic_clinical_plus_aec_pca8_logistic,-0.5760412853718329,0.6462906049092918,0.5510502778154222,0.7943262411347518,0.22038216560509555,0.15469613259668508,0.8564356435643564,112,29,173,612
classic_aec_pca10_logistic,-0.21430025843460368,0.6294880171655817,0.598491213804942,0.7872340425531915,0.36942675159235666,0.18316831683168316,0.90625,111,30,290,495
classic_clinical_plus_aec_pca10_logistic,-0.484386205537104,0.6581322750042349,0.5654153679360346,0.8297872340425532,0.17961783439490445,0.15374507227332457,0.8545454545454545,117,24,141,644
classic_aec_pca16_logistic,0.04518481132708946,0.6131048891255072,0.5709355377874147,0.6737588652482269,0.4229299363057325,0.17335766423357665,0.8783068783068783,95,46,332,453
classic_clinical_plus_aec_pca16_logistic,0.12749302721692718,0.7079995805402963,0.6343497312192258,0.48936170212765956,0.7121019108280254,0.23389830508474577,0.8858954041204438,69,72,559,226
classic_aec_pca24_logistic,0.03960534923084556,0.6010615557115085,0.610859646745268,0.8297872340425532,0.22802547770700637,0.16182572614107885,0.8817733990147784,117,24,179,606
classic_clinical_plus_aec_pca24_logistic,-0.31221110782583106,0.7836959239809953,0.7872340425531915,0.8652482269503546,0.48662420382165605,0.23238095238095238,0.9526184538653366,122,19,382,403
