feature,sex,direction,mean,sd,cutoff,n_internal
TAMA_SUM,M,low,24360.421615384614,5333.444434881104,19026.97718050351,390
TAMA_SUM,F,low,17316.403000000002,3202.4228603877486,14113.980139612253,700
NAMA_SUM,M,low,17974.052205128206,4136.732866945496,13837.31933818271,390
NAMA_SUM,F,low,12480.179457142856,2872.318479291517,9607.860977851338,700
LAMA_SUM,M,high,5121.532846153846,2517.491481367963,7639.024327521809,390
LAMA_SUM,F,high,3674.3261142857145,1494.1154827873129,5168.441597073028,700
IMATA_SUM,M,high,1264.836564102564,637.7006896273097,1902.5372537298736,390
IMATA_SUM,F,high,1161.8974285714285,521.4080538462134,1683.305482417642,700
SAT(피하지방)_SUM,M,high,16164.426794871797,7257.040674289435,23421.46746916123,390
SAT(피하지방)_SUM,F,high,21963.435742857142,7834.842092677729,29798.27783553487,700
VAT(내장지방)_SUM,M,high,11419.947,5866.767741003794,17286.714741003794,390
VAT(내장지방)_SUM,F,high,6952.253514285714,3972.089707951393,10924.343222237107,700
Total Fat_SUM,M,high,27584.373794871794,12112.48203533207,39696.855830203865,390
Total Fat_SUM,F,high,28915.689257142858,10896.324642675634,39812.01389981849,700
