cohort,vendor,n_tp,n_fp,curve_rmsd,peak_slice,peak_deviation,direction,n_perm,p_value
sinchon,SOMATOM Definition Flash,31,99,26.041097433328076,3,-36.9045780384489,TP < FP,2000,0.004997501249375313
sinchon,Revolution EVO,39,53,36.145532424168266,1,-51.37397194000965,TP < FP,2000,0.00399800099950025
sinchon,SOMATOM Definition AS+,17,72,10.172954800664842,43,-20.60327614379085,TP < FP,2000,0.617191404297851
sinchon,iCT 256,12,61,9.068930687700018,37,15.72685792349722,TP > FP,2000,0.7456271864067966
sinchon,SOMATOM Force,12,61,8.983518798253328,128,-14.808743169398909,TP < FP,2000,0.6481759120439781
sinchon,LightSpeed VCT,8,21,24.525448409795477,1,-36.904761904761926,TP < FP,2000,0.22938530734632684
sinchon,Sensation 64,7,19,41.59206527333199,88,-60.46759398496235,TP < FP,2000,0.16941529235382308
sinchon,Revolution CT,3,4,68.61898990016262,91,-97.51499999999996,TP < FP,2000,0.23888055972013994
