feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4,internal,1090,0.522974451085152,0.48271688918496347,0.5616788755884927,3588.0158911530134,2609.7003007165035,0.7231827411396161,4.377671125448218e-177
VAT(내장지방)_SUM,clinic4,external,926,0.41833658179756594,0.35894626456676115,0.47085670782181094,4090.9980050328213,3127.254599878973,0.6644398969859359,5.341917441965264e-119
VAT(내장지방)_SUM,clinic4_aec_sd,internal,1090,0.5417116720298503,0.5013577197850462,0.5811373509944435,3516.8426376519733,2556.9948483867074,0.7360354296461946,1.4354506447697217e-186
VAT(내장지방)_SUM,clinic4_aec_sd,external,926,0.437703059922676,0.38181597542959966,0.48642493200030107,4022.316608581232,3090.43425109862,0.6625932985204588,4.048531214368683e-118
VAT(내장지방)_SUM,clinic4_aec_skew,internal,1090,0.5359316970180961,0.4939227935249344,0.5771268681076084,3538.9505225891558,2564.6348748462033,0.7320859101831089,1.348870403169594e-183
VAT(내장지방)_SUM,clinic4_aec_skew,external,926,0.4104771327002814,0.3556295619081714,0.45962565866031196,4118.544094613852,3135.1758029037983,0.6673349797711117,2.1673042238219464e-120
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,internal,1090,0.5734348508537119,0.53683474121255,0.610182634809454,3392.9403377423655,2495.963503269329,0.75727166649321,1.591774206960979e-203
VAT(내장지방)_SUM,clinic4_aec_shape_no_fpca,external,926,0.48537933377373277,0.44223148504441534,0.5264756840004361,3848.017190245762,2952.3637616909996,0.7125908765255371,2.1924127375752472e-144
VAT(내장지방)_SUM,clinic4_aec_fpca,internal,1090,0.62687896590889,0.5881813973360669,0.663671218348059,3173.280069565189,2299.262748409502,0.7918762831084288,2.82573441747913e-235
VAT(내장지방)_SUM,clinic4_aec_fpca,external,926,0.5135832860782439,0.4705585977742289,0.5549359410068292,3741.085526281745,2899.529344404308,0.7441722567730049,4.295725012285584e-164
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,1090,0.6196633113424804,0.5805299857126013,0.6565436486661014,3203.8166082929793,2315.1469558255662,0.7874232026945657,7.368893577749248e-231
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,926,0.5115557359302442,0.46887916587728173,0.552419125954113,3748.8744758225134,2904.16365365871,0.7428916494857964,3.07805968645192e-163
SAT(피하지방)_SUM,clinic4,internal,1090,0.5276249675951172,0.47755745230987917,0.57314577604254,5578.840711620315,4087.827152932292,0.726385902205064,2.1297936362601517e-179
SAT(피하지방)_SUM,clinic4,external,926,0.5645541761064046,0.5106773620739308,0.6132171385935262,5893.738038542955,4387.530113798807,0.7588702961794219,2.7310264893270645e-174
SAT(피하지방)_SUM,clinic4_aec_sd,internal,1090,0.5277161343938293,0.47709319770342584,0.5742436646901237,5578.302336859324,4081.535381737066,0.7264513923687538,1.9085583567987825e-179
SAT(피하지방)_SUM,clinic4_aec_sd,external,926,0.5662300730765129,0.5119006379172509,0.6142767198439456,5882.385512946001,4392.724406464129,0.7570568193692749,5.416630376115497e-173
SAT(피하지방)_SUM,clinic4_aec_skew,internal,1090,0.5315683522434018,0.48184073949035383,0.5767687828190153,5555.505841110463,4079.2358707516973,0.7290937278873125,2.2245595123918292e-181
SAT(피하지방)_SUM,clinic4_aec_skew,external,926,0.5620997895136131,0.5080494535086334,0.6097718094037763,5910.324700295902,4395.298321675679,0.7622289690944841,1.0064530783356475e-176
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,internal,1090,0.5326755499969258,0.4835945686295691,0.577528393408351,5548.936384700214,4081.7326632579907,0.7298569553960023,6.088434241566838e-182
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,external,926,0.5693188486031946,0.5165221166818923,0.6154314423079791,5861.404541322105,4355.224708403664,0.7686249447096578,1.7984647122760883e-181
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,1090,0.587895423136652,0.5459033633876155,0.6257404954820205,5210.7977035900785,3932.9248019870174,0.7668219028301076,9.85280884069574e-212
SAT(피하지방)_SUM,clinic4_aec_fpca,external,926,0.5750431956473122,0.5257374517682073,0.6176320048862503,5822.32115995473,4394.2847030966195,0.7938855774488365,7.765965765857086e-202
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,1090,0.5823117389850205,0.5384827147999173,0.6221186218501942,5245.979981700146,3935.321301382862,0.7632246931731281,1.3519510635365054e-208
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,926,0.5760217463548218,0.5286662555971848,0.617260693128858,5815.613748643168,4380.9657501199845,0.7959612932860878,1.2309169760764716e-203
Total Fat_SUM,clinic4,internal,1090,0.5020347694149179,0.45175229005033746,0.5484934466931847,8011.899450054568,5835.201462407836,0.708558070366581,6.304392566763572e-167
Total Fat_SUM,clinic4,external,926,0.49226934795779465,0.42805345267657113,0.5502537860767173,8790.21248904625,6666.631873664684,0.7144617449779691,1.7721858412808588e-145
Total Fat_SUM,clinic4_aec_sd,internal,1090,0.5084122863686773,0.45678191112269484,0.5554466151862463,7960.429311020066,5776.6461474900725,0.713051444710934,5.578536986657685e-170
Total Fat_SUM,clinic4_aec_sd,external,926,0.5006363065071885,0.4390870892534508,0.5567729760623745,8717.48409963336,6634.690153557302,0.7106724940879846,2.831430348178601e-143
Total Fat_SUM,clinic4_aec_skew,internal,1090,0.5115142977881182,0.4596581078164758,0.5574294719009995,7935.273656953502,5793.904825757464,0.715214308797695,1.8021724566449832e-171
Total Fat_SUM,clinic4_aec_skew,external,926,0.4867308197929089,0.42459746365483625,0.5417494364195027,8838.026019795014,6737.800256116241,0.7201938871338848,7.0127343038553135e-149
Total Fat_SUM,clinic4_aec_shape_no_fpca,internal,1090,0.5255497644442533,0.47472507136734654,0.5703607963218131,7820.442252722541,5714.944586204412,0.7249664701324283,2.276755590210571e-178
Total Fat_SUM,clinic4_aec_shape_no_fpca,external,926,0.5203602172713131,0.4628730079946157,0.5718432368810398,8543.587682285013,6506.544478420643,0.7416409456692752,2.0827562303322508e-162
Total Fat_SUM,clinic4_aec_fpca,internal,1090,0.5937758400547689,0.5507876320020226,0.6306595594642844,7236.338180170707,5386.474675318761,0.7706766356667398,3.698409571083683e-215
Total Fat_SUM,clinic4_aec_fpca,external,926,0.53269321173042,0.48166498520934536,0.5785106608735598,8433.031586948768,6504.939512951026,0.7740704089708587,1.2302864824674313e-185
Total Fat_SUM,clinic4_aec_shape_all,internal,1090,0.5860802194629686,0.5426213194257505,0.6243001226860548,7304.560168066226,5404.749726207971,0.7657540571268253,8.527111251975762e-211
Total Fat_SUM,clinic4_aec_shape_all,external,926,0.5315917502189997,0.4810423076524486,0.5766723773303842,8442.964240349616,6505.414299069603,0.7749735475569997,2.443150734966822e-186
