model,cohort,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,sensitivity_loss_upper95_one_sided,formal_NI_margin,formal_NI_pass,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_gain,total_low_smi,tp_lost,total_nonlow_smi,fp_removed,deescalated_n,deescalated_low_smi_events,deescalated_event_rate
primary_interpretable_4region,Gangnam internal,S90,0.9069767441860465,0.8914728682170543,0.015503875968992248,0.04799830484713389,0.05,True,0.5275754422476587,0.5806451612903226,0.053069719042663895,0.5724770642201835,0.6174311926605505,0.04495412844036695,129,2,961,51,53,2,0.03773584905660377
primary_interpretable_4region,Sinchon external,S90,0.9290780141843972,0.9148936170212766,0.014184397163120567,0.04397567634194157,0.05,True,0.4840764331210191,0.5528662420382165,0.06878980891719745,0.5518358531317494,0.6079913606911447,0.056155507559395246,141,2,785,54,56,2,0.03571428571428571
secondary_CNN_mimic,Gangnam internal,S90,0.9069767441860465,0.8914728682170543,0.015503875968992248,0.04799830484713389,0.05,True,0.5275754422476587,0.5671175858480749,0.03954214360041623,0.5724770642201835,0.6055045871559633,0.03302752293577982,129,2,961,38,40,2,0.05
secondary_CNN_mimic,Sinchon external,S90,0.9290780141843972,0.9219858156028369,0.0070921985815602835,0.03320104609109007,0.05,True,0.4840764331210191,0.5477707006369427,0.06369426751592357,0.5518358531317494,0.6047516198704104,0.05291576673866094,141,1,785,50,51,1,0.0196078431372549
