curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,16,0.02,0.0005,0.0001,32,0.7197520397542223,0.0011898566296211222
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,16,0.02,0.001,1e-05,32,0.7045923849175705,-0.013969798207030704
raw,"(128, 256, 128)","(11, 9, 7)",0.6,16,0.1,0.001,0.0001,64,0.6985360776281773,-0.020026105496423918
raw,"(16, 32, 16)","(7, 5, 3)",0.6,8,0.0,0.0003,1e-05,128,0.6406297216532921,-0.07793246147130906
raw,"(16, 32, 16)","(15, 11, 7)",0.4,8,0.05,0.001,1e-05,128,0.6672808313467414,-0.05128135177785975
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.1,64,0.02,0.0003,1e-05,32,0.7173198636806233,-0.0012423194439779017
raw,"(16, 32, 16)","(7, 5, 3)",0.2,64,0.1,0.003,0.0001,128,0.7013229023268308,-0.017239280797770373
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,64,0.0,0.003,0.001,64,0.7064285834200719,-0.012133599704529319
raw,"(64, 128, 64)","(11, 9, 7)",0.1,16,0.1,0.003,0.0001,64,0.6918292314407547,-0.026732951683846484
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.1,32,0.02,0.002,1e-05,64,0.718165564248061,-0.000396618876540189
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.6,8,0.0,0.002,0.001,64,0.7074967263203841,-0.01106545680421711
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.2,8,0.02,0.002,0.001,64,0.7173345532686433,-0.0012276298559579235
raw,"(128, 256, 128)","(7, 5, 3)",0.4,16,0.0,0.001,0.001,64,0.6949476211261457,-0.023614561998455463
raw,"(64, 128, 64)","(5, 3, 3)",0.4,64,0.0,0.002,0.001,32,0.7008066682335562,-0.017755514891044988
raw,"(128, 256, 128)","(7, 5, 3)",0.6,16,0.1,0.002,0.001,128,0.6817102038075412,-0.03685197931705997
raw,"(64, 128, 64)","(15, 11, 7)",0.6,16,0.02,0.002,0.0001,128,0.6853448275862069,-0.03321735553839433
raw,"(32, 64, 32)","(7, 5, 3)",0.2,16,0.1,0.003,0.001,32,0.7036102810328039,-0.014951902091797309
raw,"(16, 32, 16)","(5, 3, 3)",0.4,8,0.0,0.003,1e-05,128,0.7021329281805055,-0.01642925494409564
raw,"(64, 128, 64)","(11, 9, 7)",0.1,32,0.0,0.002,0.0001,128,0.7107368297350838,-0.007825353389517398
raw,"(128, 256, 128)","(7, 5, 3)",0.6,32,0.05,0.003,0.001,128,0.7049071618037135,-0.013655021320887695
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,16,0.0,0.002,0.001,32,0.7051338011617365,-0.013428381962864666
raw,"(64, 128, 64)","(11, 9, 7)",0.6,64,0.02,0.0005,1e-05,32,0.7138216432192861,-0.004740539905315089
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,32,0.0,0.0005,0.001,64,0.6859869724339387,-0.03257521069066249
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.2,32,0.1,0.002,0.0001,128,0.6913423765235202,-0.02721980660108103
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,32,0.0,0.001,0.001,64,0.7105689487291409,-0.007993234395460291
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,32,0.05,0.0005,0.001,128,0.7195631736225363,0.001000990497935117
raw,"(16, 32, 16)","(5, 3, 3)",0.1,16,0.02,0.003,0.001,128,0.6947545579693114,-0.02380762515528978
raw,"(128, 256, 128)","(15, 11, 7)",0.4,16,0.1,0.0005,0.0001,128,0.7028758016318034,-0.015686381492797774
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.4,8,0.05,0.001,0.0001,64,0.6934115099217675,-0.025150673202833707
raw,"(128, 256, 128)","(15, 11, 7)",0.1,16,0.02,0.0005,1e-05,64,0.7074715441694926,-0.011090638955108534
patient_zscore,"(64, 128, 64)","(5, 3, 3)",0.1,64,0.05,0.0005,0.001,64,0.7214182587382064,0.0028560756136052357
raw,"(64, 128, 64)","(11, 9, 7)",0.2,32,0.02,0.002,0.0001,64,0.6660678910788034,-0.05249429204579781
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.6,32,0.0,0.0005,0.0001,128,0.7207299466138402,0.002167763489238972
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,8,0.05,0.0005,0.001,32,0.6756455024678508,-0.04291668065675036
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.1,64,0.0,0.001,0.0001,64,0.7129738441392741,-0.005588338985327068
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,16,0.02,0.001,0.0001,64,0.7185349024611355,-2.7280663465689692e-05
raw,"(128, 256, 128)","(15, 11, 7)",0.6,16,0.05,0.001,0.0001,128,0.7162643118557566,-0.00229787126884462
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.4,32,0.1,0.0005,0.001,128,0.6854959204915556,-0.03306626263304557
raw,"(128, 256, 128)","(15, 11, 7)",0.4,16,0.05,0.0003,0.001,32,0.6971300742034047,-0.021432108921196513
raw,"(64, 128, 64)","(11, 9, 7)",0.2,64,0.05,0.003,0.0001,32,0.6780084276264984,-0.040553755498102806
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.2,64,0.0,0.0005,1e-05,128,0.6923160863579895,-0.026246096766611715
raw,"(16, 32, 16)","(5, 3, 3)",0.4,64,0.05,0.0003,0.0001,128,0.6912290568445085,-0.027333126280092657
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.4,32,0.0,0.002,1e-05,64,0.7041013329751872,-0.014460850149414006
raw,"(32, 64, 32)","(7, 5, 3)",0.2,16,0.05,0.001,1e-05,32,0.6934031158714703,-0.025159067253130885
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,8,0.1,0.001,1e-05,32,0.718589463788067,2.7280663465800714e-05
raw,"(32, 64, 32)","(7, 5, 3)",0.2,64,0.0,0.0005,0.001,32,0.6834225900681598,-0.03513959305644143
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.4,64,0.05,0.002,1e-05,128,0.7150177953866299,-0.0035443877379712774
raw,"(32, 64, 32)","(7, 5, 3)",0.1,16,0.1,0.002,0.001,128,0.6888577376355639,-0.02970444548903728
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.6,8,0.1,0.002,0.0001,128,0.7038327233656785,-0.014729459758922703
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.6,64,0.1,0.0005,1e-05,128,0.7072574958869153,-0.011304687237685851
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,32,0.0,0.0003,0.0001,64,0.719764630829668,0.0012024477050668336
raw,"(64, 128, 64)","(5, 3, 3)",0.4,16,0.02,0.001,0.001,128,0.7038998757680556,-0.014662307356545612
patient_zscore,"(64, 128, 64)","(5, 3, 3)",0.1,8,0.0,0.002,1e-05,32,0.6954344760433805,-0.023127707081220694
raw,"(16, 32, 16)","(15, 11, 7)",0.6,32,0.1,0.0005,1e-05,64,0.6818487056374443,-0.03671347748715692
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.2,64,0.05,0.001,1e-05,64,0.7128395393345197,-0.005722643790081472
raw,"(32, 64, 32)","(5, 3, 3)",0.4,32,0.02,0.0003,0.001,128,0.7096288150958601,-0.008933368028741118
raw,"(64, 128, 64)","(7, 5, 3)",0.2,16,0.1,0.001,1e-05,32,0.6676333814592217,-0.0509288016653795
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,16,0.0,0.0005,0.001,128,0.6874391431353457,-0.031123039989255474
raw,"(32, 64, 32)","(11, 9, 7)",0.4,64,0.02,0.002,0.001,128,0.688186213611792,-0.030375969512809187
raw,"(64, 128, 64)","(5, 3, 3)",0.2,32,0.02,0.0003,0.0001,64,0.6731524695295975,-0.045409713595003676
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,8,0.0,0.003,0.001,64,0.7195925527985764,0.0010303696739751844
raw,"(16, 32, 16)","(5, 3, 3)",0.1,32,0.02,0.001,1e-05,32,0.6982422858677768,-0.02031989725682437
raw,"(16, 32, 16)","(5, 3, 3)",0.1,32,0.02,0.003,0.001,128,0.6760400228318167,-0.04252216029278444
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.1,16,0.1,0.0005,0.0001,32,0.716398616660511,-0.0021635664640902164
raw,"(16, 32, 16)","(15, 11, 7)",0.6,8,0.1,0.0003,0.001,64,0.679766981163751,-0.03879520196085018
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.1,32,0.05,0.0003,0.0001,64,0.6693919349964745,-0.04917024812812665
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.1,32,0.05,0.0003,1e-05,64,0.7174856461739919,-0.0010765369506092748
raw,"(128, 256, 128)","(7, 5, 3)",0.6,32,0.0,0.0003,1e-05,32,0.6833596346909312,-0.03520254843366999
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,64,0.02,0.003,0.001,128,0.7028359298928919,-0.015726253231709286
raw,"(16, 32, 16)","(15, 11, 7)",0.4,8,0.0,0.003,0.0001,64,0.6803923379108888,-0.03816984521371236
raw,"(128, 256, 128)","(7, 5, 3)",0.2,8,0.0,0.0003,0.001,32,0.7060361615686801,-0.012526021555921085
raw,"(16, 32, 16)","(5, 3, 3)",0.2,64,0.02,0.001,1e-05,32,0.7055577007017426,-0.013004482422858565
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.6,32,0.05,0.0005,0.001,128,0.7147156095759326,-0.003846573548668575
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.4,8,0.05,0.002,0.001,32,0.7026827384749689,-0.015879444649632313
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.1,16,0.05,0.0005,1e-05,128,0.7192358056609475,0.0006736225363462855
raw,"(16, 32, 16)","(7, 5, 3)",0.2,32,0.05,0.002,0.0001,32,0.7004709062216702,-0.018091276902930997
raw,"(16, 32, 16)","(7, 5, 3)",0.1,64,0.05,0.001,0.0001,128,0.6935332236510762,-0.025028959473525014
raw,"(32, 64, 32)","(15, 11, 7)",0.1,32,0.02,0.0003,1e-05,128,0.6804720813887116,-0.03809010173588956
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.1,32,0.05,0.0005,1e-05,128,0.6708189235469898,-0.047743259577611386
raw,"(32, 64, 32)","(5, 3, 3)",0.2,8,0.02,0.001,1e-05,128,0.684119296242823,-0.03444288688177821
raw,"(32, 64, 32)","(15, 11, 7)",0.6,16,0.1,0.003,0.001,32,0.702376355639123,-0.016185827485478144
raw,"(128, 256, 128)","(5, 3, 3)",0.6,32,0.05,0.003,0.001,32,0.7123820635933251,-0.006180119531276063
raw,"(128, 256, 128)","(7, 5, 3)",0.2,32,0.05,0.002,1e-05,128,0.6763002383910285,-0.0422619447335727
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,64,0.1,0.001,0.001,128,0.7145183493939495,-0.004043833730651647
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.4,8,0.05,0.0005,0.0001,32,0.7004709062216701,-0.018091276902931108
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.6,32,0.0,0.0005,1e-05,64,0.7181403820971696,-0.00042180102743161196
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.4,32,0.05,0.0003,0.0001,64,0.6697864553604406,-0.048775727764160615
raw,"(128, 256, 128)","(11, 9, 7)",0.1,16,0.0,0.0005,0.001,64,0.6812023637645637,-0.037359819360037516
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.1,8,0.02,0.0005,1e-05,32,0.711563643689353,-0.006998539435248197
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.2,8,0.05,0.0005,0.0001,32,0.7258671053956955,0.007304922271094361
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,64,0.1,0.003,1e-05,32,0.6819200550649699,-0.036642128059631296
raw,"(64, 128, 64)","(7, 5, 3)",0.1,16,0.1,0.0003,1e-05,128,0.6434543195782829,-0.07510786354631827
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.6,8,0.0,0.001,0.001,32,0.7046763254205419,-0.013885857704059257
patient_zscore,"(64, 128, 64)","(5, 3, 3)",0.1,32,0.02,0.003,0.0001,32,0.714367256488601,-0.004194926636000185
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.4,64,0.0,0.0003,0.001,64,0.6973483195111305,-0.021213863613470663
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.6,16,0.02,0.0003,0.001,64,0.6997825940973038,-0.018779589027297372
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.6,8,0.05,0.001,0.0001,128,0.7193281402142162,0.0007659570896150214
raw,"(128, 256, 128)","(7, 5, 3)",0.2,32,0.05,0.001,0.001,128,0.6945992680388141,-0.023962915085787073
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.4,32,0.1,0.002,0.001,64,0.7125961118759023,-0.0059660712486988565
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.2,32,0.05,0.0005,0.0001,128,0.7220897827619782,0.0035275996373770324
raw,"(128, 256, 128)","(11, 9, 7)",0.4,64,0.02,0.0003,1e-05,128,0.7159369438941677,-0.0026252392304334515
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.1,16,0.05,0.002,1e-05,64,0.7219596749823726,0.003397491857771384
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.1,64,0.05,0.002,1e-05,32,0.6941837625491052,-0.024378420575495996
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,16,0.0,0.0005,1e-05,64,0.7134523050062116,-0.005109878118389588
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.4,8,0.0,0.001,1e-05,128,0.6867382399355337,-0.03182394318906745
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,16,0.02,0.001,1e-05,32,0.7204697310546284,0.0019075479300272313
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.6,64,0.02,0.003,1e-05,64,0.7095071013665514,-0.00905508175804981
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.2,32,0.1,0.003,0.001,64,0.6850342477252124,-0.03352793539938881
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,32,0.05,0.0003,1e-05,32,0.7246038008259745,0.006041617701373347
raw,"(32, 64, 32)","(7, 5, 3)",0.1,16,0.1,0.0003,0.0001,64,0.6884883994224894,-0.030073783702111778
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,8,0.02,0.003,0.001,32,0.7133347883020514,-0.005227394822549747
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.4,64,0.1,0.0005,0.0001,32,0.7130871638182855,-0.005475019306315665
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,8,0.05,0.003,0.0001,32,0.7099310009065574,-0.00863118221804382
raw,"(32, 64, 32)","(15, 11, 7)",0.2,8,0.05,0.0003,0.0001,32,0.6487299801900412,-0.06983220293455994
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.6,16,0.1,0.002,1e-05,64,0.7024812812678375,-0.016080901856763696
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.1,32,0.05,0.002,1e-05,32,0.713872007521069,-0.004690175603532132
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,16,0.1,0.0005,1e-05,128,0.7171960514387402,-0.0013661316858609718
raw,"(128, 256, 128)","(11, 9, 7)",0.2,64,0.0,0.003,1e-05,64,0.7020028204008998,-0.0165593627237014
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.2,16,0.05,0.003,0.0001,64,0.7129654500889769,-0.005596733035624246
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.1,64,0.1,0.001,0.001,128,0.7201255749924453,0.001563391867844155
raw,"(64, 128, 64)","(7, 5, 3)",0.4,8,0.0,0.002,1e-05,32,0.688777994157741,-0.029784188966860192
raw,"(128, 256, 128)","(11, 9, 7)",0.6,64,0.1,0.003,1e-05,32,0.708883843131988,-0.009678339992613139
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,64,0.0,0.003,1e-05,128,0.7110348185206325,-0.007527364603968634
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,64,0.1,0.003,0.0001,64,0.701280932075345,-0.017281251049256152
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.2,32,0.1,0.0005,0.0001,64,0.7189588020011417,0.0003966188765405221
raw,"(32, 64, 32)","(15, 11, 7)",0.1,32,0.02,0.0003,0.001,128,0.6731650606050432,-0.045397122519557964
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.1,8,0.1,0.0003,0.001,32,0.6907547930027197,-0.027807390121881492
raw,"(16, 32, 16)","(11, 9, 7)",0.4,32,0.0,0.0003,0.001,32,0.7056080650035255,-0.01295411812107572
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,16,0.0,0.001,1e-05,32,0.7216365040459323,0.0030743209213310863
raw,"(64, 128, 64)","(11, 9, 7)",0.1,8,0.02,0.002,0.0001,32,0.6917075177114462,-0.026854665413154954
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.6,8,0.1,0.001,1e-05,64,0.7133515764026459,-0.00521060672195528
raw,"(128, 256, 128)","(7, 5, 3)",0.2,16,0.1,0.002,1e-05,64,0.7044454890373703,-0.01411669408723093
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.4,64,0.02,0.003,0.0001,32,0.7087348487392137,-0.00982733438538752
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.1,32,0.0,0.001,0.001,64,0.7203941846019541,0.0018320014773529625
raw,"(128, 256, 128)","(5, 3, 3)",0.6,32,0.0,0.001,0.001,32,0.6919005808682805,-0.026661602256320638
raw,"(32, 64, 32)","(5, 3, 3)",0.4,64,0.1,0.003,1e-05,32,0.7082437967968302,-0.010318386327770934
raw,"(32, 64, 32)","(15, 11, 7)",0.1,32,0.02,0.003,0.001,128,0.6844970285061948,-0.034065154618406424
raw,"(64, 128, 64)","(11, 9, 7)",0.2,64,0.05,0.003,0.001,32,0.7005254675486015,-0.01803671557599973
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.1,8,0.05,0.0005,1e-05,64,0.7159495349696134,-0.00261264815498774
raw,"(64, 128, 64)","(7, 5, 3)",0.6,8,0.0,0.002,0.0001,32,0.7076981835275157,-0.010863999597085505
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,16,0.1,0.0003,0.0001,64,0.7195799617231307,0.001017778598529473
raw,"(128, 256, 128)","(7, 5, 3)",0.1,8,0.05,0.003,1e-05,128,0.7164321928616996,-0.0021299902629016154
raw,"(128, 256, 128)","(5, 3, 3)",0.6,8,0.02,0.002,0.001,64,0.7031024409898263,-0.015459742134774856
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.6,64,0.0,0.0005,0.001,32,0.7257076184400497,0.007145435315448534
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.6,16,0.02,0.001,0.0001,128,0.7098890306550718,-0.008673152469529377
raw,"(32, 64, 32)","(7, 5, 3)",0.2,64,0.05,0.0005,0.0001,32,0.7004079508444414,-0.018154232280159777
raw,"(16, 32, 16)","(11, 9, 7)",0.4,16,0.1,0.0003,0.001,32,0.6827573615821105,-0.03580482154249065
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.4,8,0.0,0.002,0.001,32,0.7064180908572005,-0.012144092267400652
raw,"(32, 64, 32)","(7, 5, 3)",0.2,64,0.1,0.002,0.0001,64,0.704646946244502,-0.013915236880099213
raw,"(128, 256, 128)","(5, 3, 3)",0.1,32,0.1,0.002,1e-05,64,0.7132382567236344,-0.005323926400966794
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.2,64,0.1,0.002,0.001,32,0.6993544975321493,-0.019207685592451895
raw,"(128, 256, 128)","(11, 9, 7)",0.1,16,0.0,0.0005,1e-05,32,0.7133809555786857,-0.0051812275459154344
raw,"(64, 128, 64)","(7, 5, 3)",0.6,16,0.1,0.0005,0.0001,128,0.6416747809152873,-0.0768874022093139
raw,"(32, 64, 32)","(11, 9, 7)",0.4,32,0.02,0.0003,1e-05,128,0.7103549004465636,-0.008207282678037608
raw,"(16, 32, 16)","(7, 5, 3)",0.6,64,0.1,0.0003,0.001,32,0.7017845750931739,-0.01677760803142725
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.1,8,0.05,0.001,1e-05,32,0.7121973944867876,-0.006364788637813534
raw,"(128, 256, 128)","(15, 11, 7)",0.2,8,0.1,0.0005,1e-05,64,0.7146106839472182,-0.003951499177383022
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.4,8,0.02,0.0005,0.001,64,0.6915690158815431,-0.026993167243058114
patient_zscore,"(32, 64, 32)","(5, 3, 3)",0.1,32,0.05,0.001,0.001,32,0.727352852298291,0.008790669173689869
raw,"(32, 64, 32)","(11, 9, 7)",0.2,16,0.1,0.0003,0.0001,64,0.7117567068461875,-0.006805476278413658
raw,"(16, 32, 16)","(15, 11, 7)",0.4,16,0.0,0.0003,0.001,64,0.6819284491152671,-0.03663373400933412
raw,"(64, 128, 64)","(5, 3, 3)",0.4,32,0.05,0.0005,1e-05,64,0.6760945841587482,-0.04246759896585295
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.1,8,0.02,0.0003,1e-05,128,0.6858190914279958,-0.032743091696605386
raw,"(128, 256, 128)","(15, 11, 7)",0.6,32,0.1,0.003,0.0001,128,0.6906330792734111,-0.027929103851190074
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.2,32,0.02,0.0003,0.001,64,0.6850258536749153,-0.033536329449685875
raw,"(16, 32, 16)","(15, 11, 7)",0.4,64,0.02,0.001,0.001,64,0.6622192190175603,-0.05634296410704087
raw,"(32, 64, 32)","(11, 9, 7)",0.6,16,0.1,0.0003,0.0001,128,0.6890508007923983,-0.02951138233220285
raw,"(128, 256, 128)","(7, 5, 3)",0.1,32,0.0,0.0005,1e-05,32,0.6937724540845449,-0.024789729040056274
raw,"(64, 128, 64)","(15, 11, 7)",0.1,16,0.02,0.0005,0.001,64,0.6656775677399859,-0.05288461538461531
raw,"(64, 128, 64)","(7, 5, 3)",0.6,8,0.1,0.001,0.001,64,0.7043237753080617,-0.014238407816539511
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.2,32,0.05,0.003,1e-05,32,0.7085249974817849,-0.010037185642816304
raw,"(32, 64, 32)","(11, 9, 7)",0.1,8,0.02,0.002,0.001,128,0.635070761844005,-0.08349142128059617
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.2,64,0.05,0.0005,1e-05,32,0.717238021690226,-0.0013241614343751928
raw,"(32, 64, 32)","(7, 5, 3)",0.4,64,0.1,0.002,0.001,32,0.7080297485142533,-0.010532434610347918
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.4,64,0.1,0.002,0.001,32,0.7112152906020213,-0.0073468925225799175
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.1,16,0.05,0.003,1e-05,128,0.7087054695631736,-0.009856713561427588
raw,"(16, 32, 16)","(7, 5, 3)",0.4,64,0.02,0.0003,0.0001,128,0.6739499043078266,-0.04461227881677454
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,64,0.0,0.003,0.0001,128,0.6944481751334655,-0.024114007991135722
raw,"(16, 32, 16)","(7, 5, 3)",0.1,16,0.05,0.0005,0.001,32,0.6832966793137024,-0.03526550381089877
raw,"(64, 128, 64)","(5, 3, 3)",0.2,16,0.05,0.0003,0.001,128,0.6887108417553638,-0.029851341369237394
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.2,64,0.05,0.0003,0.0001,64,0.6953715206661518,-0.023190662458449363
raw,"(16, 32, 16)","(11, 9, 7)",0.4,16,0.0,0.001,1e-05,32,0.6829105530000337,-0.03565163012456751
raw,"(64, 128, 64)","(15, 11, 7)",0.6,16,0.1,0.002,0.001,64,0.7031402142161636,-0.015421968908437611
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.6,64,0.02,0.002,0.001,128,0.7180396534936038,-0.0005225296309974148
raw,"(64, 128, 64)","(11, 9, 7)",0.6,8,0.05,0.002,0.001,128,0.6893823657791358,-0.029179817345465375
raw,"(64, 128, 64)","(5, 3, 3)",0.4,16,0.1,0.002,0.0001,64,0.7096560957593259,-0.008906087365275317
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.1,64,0.05,0.0005,1e-05,32,0.7110516066212269,-0.007510576503374278
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,8,0.05,0.001,0.001,32,0.7180690326696437,-0.0004931504549574584
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.1,8,0.0,0.001,0.001,32,0.6972685760333076,-0.021293607091293576
raw,"(32, 64, 32)","(7, 5, 3)",0.6,16,0.02,0.001,0.001,128,0.680933754155055,-0.03762842896954621
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.2,8,0.05,0.002,1e-05,128,0.7033374743981465,-0.01522470872645465
raw,"(32, 64, 32)","(15, 11, 7)",0.4,64,0.02,0.002,1e-05,32,0.7056185575663969,-0.012943625558204275
raw,"(128, 256, 128)","(11, 9, 7)",0.6,16,0.1,0.002,1e-05,32,0.7026995265755632,-0.015862656549037957
raw,"(64, 128, 64)","(11, 9, 7)",0.1,16,0.05,0.0003,1e-05,64,0.698242285867777,-0.02031989725682415
