curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
raw,"(32, 64, 32)","(7, 5, 3)",0.2,8,0.02,0.002,0.001,128,0.712776583957291,-0.00578559916731014
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.4,16,0.05,0.002,0.0001,64,0.7084662391297047,-0.010095943994896439
raw,"(128, 256, 128)","(11, 9, 7)",0.2,32,0.1,0.001,0.001,32,0.6920768559245207,-0.026485327200080455
raw,"(32, 64, 32)","(11, 9, 7)",0.2,32,0.1,0.0005,0.0001,32,0.7088229862673336,-0.00973919685726754
raw,"(128, 256, 128)","(15, 11, 7)",0.1,8,0.05,0.001,1e-05,32,0.6913507705738173,-0.027211412550783853
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.4,32,0.02,0.0005,1e-05,128,0.71866920726589,0.00010702414128882509
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.4,64,0.05,0.002,0.0001,64,0.72243813584931,0.0038759527247088643
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.2,32,0.05,0.0003,0.0001,32,0.690091663029245,-0.028470520095356222
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.2,64,0.02,0.0005,1e-05,32,0.7220310244098983,0.0034688412852971195
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.6,8,0.02,0.001,0.001,128,0.7123149111909478,-0.0062472719336533755
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.4,8,0.1,0.003,1e-05,64,0.7214854111405835,0.0029232280159823265
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,64,0.0,0.003,1e-05,32,0.7139013866971091,-0.004660796427492064
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,32,0.02,0.002,0.0001,32,0.7142287546586978,-0.004333428465903344
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,16,0.05,0.0003,1e-05,64,0.714375650538898,-0.004186532585703229
raw,"(16, 32, 16)","(7, 5, 3)",0.1,16,0.02,0.001,1e-05,64,0.6693793439210288,-0.04918283920357236
raw,"(16, 32, 16)","(15, 11, 7)",0.2,64,0.1,0.002,0.0001,64,0.6753852869086392,-0.04317689621596199
raw,"(32, 64, 32)","(11, 9, 7)",0.2,16,0.05,0.0005,0.0001,64,0.7096539972467516,-0.008908185877849584
raw,"(32, 64, 32)","(15, 11, 7)",0.2,32,0.0,0.0003,0.0001,128,0.6635328878890643,-0.0550292952355369
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.2,32,0.0,0.002,1e-05,128,0.7102667629184435,-0.0082954202061577
raw,"(32, 64, 32)","(11, 9, 7)",0.2,8,0.1,0.002,0.0001,128,0.6757210489205251,-0.04284113420407609
patient_zscore,"(64, 128, 64)","(5, 3, 3)",0.1,16,0.1,0.002,0.0001,32,0.7024980693684316,-0.016064113756169562
raw,"(32, 64, 32)","(11, 9, 7)",0.2,32,0.1,0.003,1e-05,128,0.7037907531141926,-0.014771430010408593
raw,"(16, 32, 16)","(11, 9, 7)",0.4,64,0.1,0.0003,0.0001,128,0.6668317496558439,-0.051730433468757275
raw,"(32, 64, 32)","(15, 11, 7)",0.6,8,0.0,0.002,0.001,64,0.6647164489809623,-0.05384573414363891
raw,"(64, 128, 64)","(7, 5, 3)",0.4,16,0.1,0.0003,1e-05,32,0.6559740455964813,-0.06258813752811987
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.2,16,0.1,0.002,0.001,32,0.7191266830070846,0.0005644998824834158
raw,"(16, 32, 16)","(7, 5, 3)",0.2,64,0.1,0.001,0.0001,128,0.6697528791592517,-0.04880930396534944
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,16,0.05,0.002,1e-05,32,0.7105101903770609,-0.008051992747540315
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.2,8,0.05,0.001,1e-05,32,0.7180606386193467,-0.0005015445052545253
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,8,0.02,0.003,0.001,32,0.6943789242185138,-0.024183258906087413
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.1,8,0.05,0.003,1e-05,64,0.7162139475539736,-0.002348235570627577
raw,"(128, 256, 128)","(5, 3, 3)",0.2,16,0.02,0.0005,1e-05,32,0.7028170432797234,-0.015745139844877798
raw,"(32, 64, 32)","(7, 5, 3)",0.1,32,0.1,0.0003,0.001,64,0.713636974112749,-0.004925209011852227
raw,"(128, 256, 128)","(7, 5, 3)",0.2,16,0.1,0.0005,1e-05,64,0.6884422321458551,-0.03011995097874609
raw,"(16, 32, 16)","(11, 9, 7)",0.1,8,0.1,0.001,0.001,32,0.7013061142262365,-0.01725606889836473
raw,"(32, 64, 32)","(15, 11, 7)",0.1,16,0.05,0.001,0.0001,32,0.6978981298055937,-0.020664053319007447
raw,"(64, 128, 64)","(7, 5, 3)",0.6,64,0.1,0.002,0.001,128,0.6984605311755029,-0.020101651949098298
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.6,32,0.0,0.0003,0.0001,64,0.681999798542793,-0.03656238458180816
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.6,16,0.0,0.002,0.001,64,0.7105857368297351,-0.007976446294866046
raw,"(128, 256, 128)","(7, 5, 3)",0.2,16,0.0,0.003,0.0001,32,0.6969705872477587,-0.02159159587684245
