feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
DM,clinic4,baseline,3130,336,0.1073482428115016,0.648432972867028,0.5085500678942186,1721,1073,129,207,0.6160714285714286,0.6159627773801002,0.6159744408945687
DM,clinic4_bmi,scalar,3130,336,0.1073482428115016,0.6481325842792378,0.5085500678942186,1720,1074,129,207,0.6160714285714286,0.6156048675733715,0.6156549520766773
DM,clinic4_smi,scalar,3130,336,0.1073482428115016,0.6594903620002045,0.5085500678942186,1734,1060,128,208,0.6190476190476191,0.6206156048675734,0.6204472843450479
DM,clinic4_vat,scalar,3130,336,0.1073482428115016,0.6503625967208644,0.5085500678942186,1737,1057,140,196,0.5833333333333334,0.6216893342877595,0.6175718849840256
DM,clinic4_sat,scalar,3130,336,0.1073482428115016,0.6492270852507074,0.5085500678942186,1725,1069,133,203,0.6041666666666666,0.617394416607015,0.6159744408945687
DM,clinic4_imata,scalar,3130,336,0.1073482428115016,0.6479072928383952,0.5085500678942186,1714,1080,134,202,0.6011904761904762,0.6134574087329993,0.6121405750798722
DM,clinic4_nama,scalar,3130,336,0.1073482428115016,0.6696055748713229,0.5085500678942186,1748,1046,122,214,0.6369047619047619,0.6256263421617753,0.6268370607028754
DM,clinic4_lama,scalar,3130,336,0.1073482428115016,0.6437785475679176,0.5085500678942186,1700,1094,133,203,0.6041666666666666,0.6084466714387974,0.6079872204472844
DM,clinic4_tama,scalar,3130,336,0.1073482428115016,0.6600655741895899,0.5085500678942186,1738,1056,130,206,0.6130952380952381,0.6220472440944882,0.6210862619808307
DM,clinic4_vat_sat_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6657015884378088,0.5085500678942186,1770,1024,139,197,0.5863095238095238,0.6335003579098067,0.6284345047923323
DM,clinic4_lama_tama_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6576869652657054,0.5085500678942186,1750,1044,135,201,0.5982142857142857,0.6263421617752326,0.6233226837060702
DM,clinic4_imata_tama_ratio,inter_var_ratio,3130,336,0.1073482428115016,0.6598152503664314,0.5085500678942186,1759,1035,134,202,0.6011904761904762,0.629563350035791,0.626517571884984
DM,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.6470125183215735,0.5085500678942186,1724,1070,133,203,0.6041666666666666,0.6170365068002863,0.6156549520766773
DM,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6497458414289123,0.5085500678942186,1714,1080,129,207,0.6160714285714286,0.6134574087329993,0.613738019169329
DM,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.6655993284930293,0.5085500678942186,1807,987,138,198,0.5892857142857143,0.6467430207587688,0.6405750798722045
DM,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6544604509663565,0.5085500678942186,1723,1071,132,204,0.6071428571428571,0.6166785969935576,0.6156549520766773
DM,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.644995014827692,0.5085500678942186,1711,1083,129,207,0.6160714285714286,0.6123836793128131,0.612779552715655
DM,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6450003408664826,0.5085500678942186,1710,1084,130,206,0.6130952380952381,0.6120257695060844,0.6121405750798722
DM,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.660752633193578,0.5085500678942186,1807,987,141,195,0.5803571428571429,0.6467430207587688,0.6396166134185304
DM,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6483695930054199,0.5085500678942186,1728,1066,136,200,0.5952380952380952,0.6184681460272011,0.6159744408945687
DM,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.66229931485837,0.5085500678942186,1774,1020,137,199,0.5922619047619048,0.6349319971367215,0.6303514376996805
DM,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.652416317278522,0.5085500678942186,1729,1065,135,201,0.5982142857142857,0.6188260558339298,0.6166134185303515
DM,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.651932712956335,0.5085500678942186,1747,1047,139,197,0.5863095238095238,0.6252684323550465,0.6210862619808307
DM,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6479147492927021,0.5085500678942186,1706,1088,132,204,0.6071428571428571,0.6105941302791696,0.610223642172524
DM,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,336,0.1073482428115016,0.6551496403858608,0.5085500678942186,1759,1035,138,198,0.5892857142857143,0.629563350035791,0.6252396166134185
DM,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,336,0.1073482428115016,0.6518613440365408,0.5085500678942186,1739,1055,134,202,0.6011904761904762,0.6224051539012169,0.6201277955271566
DM,clinic4_aec_slope,curve_slope,3130,336,0.1073482428115016,0.6496766029246344,0.5085500678942186,1710,1084,129,207,0.6160714285714286,0.6120257695060844,0.6124600638977635
DM,clinic4_vat_slope,curve_slope,3130,336,0.1073482428115016,0.6626945069366329,0.5085500678942186,1805,989,139,197,0.5863095238095238,0.6460272011453114,0.6396166134185304
DM,clinic4_sat_slope,curve_slope,3130,336,0.1073482428115016,0.651439521764325,0.5085500678942186,1683,1111,126,210,0.625,0.6023622047244095,0.6047923322683706
DM,clinic4_imata_slope,curve_slope,3130,336,0.1073482428115016,0.6547576439308723,0.5085500678942186,1757,1037,138,198,0.5892857142857143,0.6288475304223335,0.6246006389776357
DM,clinic4_nama_slope,curve_slope,3130,336,0.1073482428115016,0.6662682789651294,0.5085500678942186,1802,992,130,206,0.6130952380952381,0.6449534717251253,0.6415335463258786
