cohort,n_tp,n_fp,tp_mean,fp_mean,t_stat,t_p,mannwhitney_u,mannwhitney_p
gangnam,117,447,131.14017094017095,133.5628635346756,-0.3265748970233052,0.7443058260777075,23599.0,0.1041548001773354
sinchon,131,398,66.80763358778626,94.08090452261305,-5.011677339831474,1.1069484969397683e-06,18071.5,1.364757329937917e-07
