feature,clinic4,top1,top2,top3,top4,top5,top6,top7,top8,delta_r2_vs_clinic4_top1,delta_r2_vs_clinic4_top2,delta_r2_vs_clinic4_top3,delta_r2_vs_clinic4_top4,delta_r2_vs_clinic4_top5,delta_r2_vs_clinic4_top6,delta_r2_vs_clinic4_top7,delta_r2_vs_clinic4_top8
IMATA_SUM,0.2825,0.1672,0.1672,0.2017,0.2228,0.2421,0.2651,0.2666,0.2913,-0.1153,-0.1152,-0.0808,-0.0597,-0.0404,-0.0173,-0.0159,0.0088
LAMA_SUM,-0.0354,-0.2493,-0.221,-0.1933,-0.1412,-0.0874,-0.0169,-0.0152,0.0039,-0.2139,-0.1856,-0.1579,-0.1057,-0.0519,0.0186,0.0203,0.0393
NAMA_SUM,0.5678,0.4088,0.4165,0.4361,0.4344,0.4271,0.4296,0.4259,0.4252,-0.159,-0.1513,-0.1317,-0.1334,-0.1407,-0.1382,-0.1419,-0.1426
SAT(피하지방)_SUM,0.5646,0.5092,0.5149,0.5377,0.5386,0.535,0.5511,0.557,0.5677,-0.0554,-0.0497,-0.0268,-0.026,-0.0296,-0.0135,-0.0076,0.0031
TAMA_SUM,0.711,0.6922,0.6923,0.6866,0.6866,0.6838,0.6762,0.6781,0.6804,-0.0188,-0.0187,-0.0244,-0.0244,-0.0272,-0.0348,-0.0329,-0.0306
Total Fat_SUM,0.4923,0.4189,0.4174,0.4614,0.4714,0.4754,0.4994,0.498,0.5244,-0.0733,-0.0749,-0.0309,-0.0209,-0.0169,0.0072,0.0057,0.0321
VAT(내장지방)_SUM,0.4183,0.3462,0.3835,0.3833,0.3785,0.4546,0.4794,0.4846,0.5087,-0.0721,-0.0349,-0.0351,-0.0399,0.0362,0.0611,0.0663,0.0903
