num_heads,head_hidden,feature,internal_oof_auc,delta_vs_clinic4
1,16,HTN,0.7903919878748253,-0.004912478825522371
1,32,HTN,0.7899848435317542,-0.005319623168593468
1,64,HTN,0.7880115308032929,-0.00729293589705482
2,16,HTN,0.7903919878748253,-0.004912478825522371
2,32,HTN,0.7899848435317542,-0.005319623168593468
2,64,HTN,0.7880115308032929,-0.00729293589705482
4,16,HTN,0.7903919878748253,-0.004912478825522371
4,32,HTN,0.7899848435317542,-0.005319623168593468
4,64,HTN,0.7880115308032929,-0.00729293589705482
1,16,DM,0.6716247523755162,-0.04693743074908496
1,32,DM,0.7114419299600444,-0.007120253164556778
1,64,DM,0.6879134069771347,-0.030648776147466528
2,16,DM,0.6716247523755162,-0.04693743074908496
2,32,DM,0.7114419299600444,-0.007120253164556778
2,64,DM,0.6879134069771347,-0.030648776147466528
4,16,DM,0.6716247523755162,-0.04693743074908496
4,32,DM,0.7114419299600444,-0.007120253164556778
4,64,DM,0.6879134069771347,-0.030648776147466528
1,16,CKD,0.7588924651316332,-0.007188247916150803
1,32,CKD,0.7583065115127506,-0.007774201535033387
1,64,CKD,0.7355368490550466,-0.030543863992737452
2,16,CKD,0.7588924651316332,-0.007188247916150803
2,32,CKD,0.7583065115127506,-0.007774201535033387
2,64,CKD,0.7355368490550466,-0.030543863992737452
4,16,CKD,0.7588924651316332,-0.007188247916150803
4,32,CKD,0.7583065115127506,-0.007774201535033387
4,64,CKD,0.7355368490550466,-0.030543863992737452
