feature,model,cohort,n,n_pos,auc,auc_ci_lower,auc_ci_upper
HTN,clinic4,internal,1259,385,0.7953044667003477,,
HTN,gated,internal,1259,385,0.7949240690659455,,
HTN,clinic4,external,1123,507,0.71769256384641,0.6874165092356662,0.7489159146997117
HTN,gated,external,1123,507,0.7255180716719178,0.6962333048228182,0.7567054160835069
DM,clinic4,internal,1259,232,0.7185621831246012,,
DM,gated,internal,1259,232,0.7238861095255682,,
DM,clinic4,external,1123,335,0.665451928176377,0.6323651962137189,0.6991494212926231
DM,gated,external,1123,335,0.6747442988105159,0.6417811978481897,0.7094320633769978
CKD,clinic4,internal,1259,105,0.766080713047784,,
CKD,gated,internal,1259,105,0.7592225798464968,,
CKD,clinic4,external,1123,188,0.6156217999772443,0.5712956423342955,0.6618362883663793
CKD,gated,external,1123,188,0.6180339060188873,0.570635404452263,0.6640704816779486
