cohort,sens_stage1,spec_stage1,sens_combined,spec_combined,acc_combined,ppv_combined,npv_combined,sens_delta,spec_delta,mcnemar_sens_p,mcnemar_spec_p,verdict,ni_sens_drop,ni_ci_upper_97.5,ni_margin,ni_verdict
internal,0.9069767441860465,0.5359001040582726,0.8992248062015504,0.5525494276795005,0.5935779816513761,0.21245421245421245,0.9761029411764706,-0.007751937984496027,0.01664932362122795,1.0,3.0517578125e-05,PASS,0.007751937984496027,0.0367718209497858,0.05,NON-INFERIOR
external,0.9290780141843972,0.49044585987261147,0.9290780141843972,0.4980891719745223,0.5637149028077754,0.24952380952380954,0.9750623441396509,0.0,0.007643312101910826,1.0,0.03125,PASS,0.0,0.022759858065156013,0.05,NON-INFERIOR
