exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
shape,IMATA_SUM,clinic4_aec_sd,internal,0.333,"[0.284,0.382]",0.331,"[0.282,0.380]",-0.002,down,True,False
shape,IMATA_SUM,clinic4_aec_sd,external,0.282,"[0.212,0.344]",0.285,"[0.215,0.346]",0.002,up,True,False
shape,IMATA_SUM,clinic4_aec_skew,internal,0.333,"[0.284,0.382]",0.338,"[0.290,0.389]",0.005,up,True,False
shape,IMATA_SUM,clinic4_aec_skew,external,0.282,"[0.212,0.344]",0.279,"[0.210,0.339]",-0.004,down,True,False
shape,IMATA_SUM,clinic4_aec_uplow_ratio,internal,0.333,"[0.284,0.382]",0.341,"[0.295,0.390]",0.008,up,True,False
shape,IMATA_SUM,clinic4_aec_uplow_ratio,external,0.282,"[0.212,0.344]",0.306,"[0.244,0.363]",0.024,up,True,False
shape,IMATA_SUM,clinic4_aec_shape_all,internal,0.333,"[0.284,0.382]",0.348,"[0.304,0.397]",0.015,up,True,False
shape,IMATA_SUM,clinic4_aec_shape_all,external,0.282,"[0.212,0.344]",0.277,"[0.215,0.333]",-0.006,down,True,False
shape,NAMA_SUM,clinic4_aec_sd,internal,0.591,"[0.535,0.636]",0.592,"[0.535,0.637]",0.0,up,True,False
shape,NAMA_SUM,clinic4_aec_sd,external,0.568,"[0.511,0.614]",0.547,"[0.489,0.596]",-0.02,down,True,False
shape,NAMA_SUM,clinic4_aec_skew,internal,0.591,"[0.535,0.636]",0.589,"[0.533,0.634]",-0.002,down,True,False
shape,NAMA_SUM,clinic4_aec_skew,external,0.568,"[0.511,0.614]",0.563,"[0.506,0.610]",-0.005,down,True,False
shape,NAMA_SUM,clinic4_aec_uplow_ratio,internal,0.591,"[0.535,0.636]",0.599,"[0.544,0.644]",0.008,up,True,False
shape,NAMA_SUM,clinic4_aec_uplow_ratio,external,0.568,"[0.511,0.614]",0.567,"[0.512,0.614]",-0.001,down,True,False
shape,NAMA_SUM,clinic4_aec_shape_all,internal,0.591,"[0.535,0.636]",0.612,"[0.561,0.656]",0.021,up,True,False
shape,NAMA_SUM,clinic4_aec_shape_all,external,0.568,"[0.511,0.614]",0.451,"[0.383,0.511]",-0.117,down,False,True
shape,LAMA_SUM,clinic4_aec_sd,internal,0.419,"[0.373,0.468]",0.422,"[0.376,0.471]",0.002,up,True,False
