feature,cohort,n,n_pos,auc_clinic4,auc_reference_vatsat,auc_test_aec,auc_diff,se,ci95_lower,ci95_upper,p_two_sided_superiority,aec_vs_clinic4_diff,aec_vs_clinic4_p,p_ni_delta0.01,noninferior_delta0.01,p_ni_delta0.015,noninferior_delta0.015,p_ni_delta0.02,noninferior_delta0.02,p_ni_delta0.03,noninferior_delta0.03,p_ni_delta0.05,noninferior_delta0.05,p_ni_primary,noninferior_primary,q_ni_primary_bh
HTN,internal,1259,385,0.7945436714315434,0.8106184433415555,0.802413147493239,-0.00820529584831653,0.005446677968753528,-0.018880784667073443,0.0024701929704403856,0.1319447312228948,0.007869476061695746,0.10268185916578888,0.3708872485594925,False,0.10610800539972037,False,0.015175248365295225,True,3.147543900955122e-05,True,8.372822493376298e-15,True,0.015175248365295225,True,0.015175248365295225
HTN,external,1123,507,0.71769256384641,0.7299463357155666,0.7296453546453546,-0.00030098107021192533,0.007138426774946659,-0.014292297549107377,0.013690335408683526,0.9663683580116098,0.011952790798944735,0.035059701863958924,0.08711998183984282,False,0.0197404223859094,True,0.002893836399653528,True,1.588153234960987e-05,True,1.6752237682867582e-12,True,0.002893836399653528,True,0.003634029618027318
DM,internal,1259,232,0.7216574891716752,0.7230844777221905,0.7405021320887755,0.017417654366584934,0.007843351443785859,0.002044685536764651,0.032790623196405216,0.02637194578661974,0.018844642917100307,0.01648264967698708,0.00023644943673905363,True,1.7892181302999375e-05,True,9.182956933135176e-07,True,7.443403509235871e-10,True,4.1445665849496095e-18,True,9.182956933135176e-07,True,5.509774159881106e-06
DM,external,1123,335,0.665451928176377,0.6768959769679521,0.6811159936358815,0.004220016667929372,0.008824301686479347,-0.013075614637570149,0.021515647973428892,0.6324888614283002,0.015664065459504495,0.06942140158544403,0.0535396571897508,False,0.014700118045444972,True,0.0030283580150227652,True,5.267469448206135e-05,True,4.0133817118494703e-10,True,0.0030283580150227652,True,0.003634029618027318
CKD,internal,1259,105,0.7681604357514236,0.7697284806470248,0.7715523644466451,0.001823883799620285,0.007817783722614303,-0.01349897229670375,0.01714673989594432,0.8155289693959975,0.0033919286952215355,0.6391372231515797,0.0652117146810864,False,0.015698610546519193,True,0.0026226574834838532,True,2.3435633271468168e-05,True,1.6901423549878547e-11,True,0.0026226574834838532,True,0.003634029618027318
CKD,external,1123,188,0.6156217999772443,0.6169928319490272,0.6297132779610877,0.01272044601206046,0.0073744136627386225,-0.00173340476690724,0.02717429679102816,0.08453767720823853,0.014091477983843359,0.016460546912262716,0.0010315907862030454,True,8.529576080577492e-05,True,4.560568994000565e-06,True,3.4556997287594712e-09,True,9.068560165950737e-18,True,4.560568994000565e-06,True,1.3681706982001696e-05
