feature,cohort,delta,z_ni,p_ni_one_sided,noninferior
HTN,internal,0.01,0.32950436247182585,0.3708872485594925,False
HTN,internal,0.015,1.2474951136570385,0.10610800539972037,False
HTN,internal,0.02,2.1654858648422515,0.015175248365295225,True
HTN,internal,0.03,4.001467367212676,3.147543900955122e-05,True
HTN,internal,0.05,7.673430371953528,8.372822493376298e-15,True
HTN,external,0.01,1.3587053892362089,0.08711998183984282,False
HTN,external,0.015,2.0591398347569254,0.0197404223859094,True
HTN,external,0.02,2.759574280277642,0.002893836399653528,True
HTN,external,0.03,4.160443171319075,1.588153234960987e-05,True
HTN,external,0.05,6.962180953401941,1.6752237682867582e-12,True
DM,internal,0.01,3.495655468595307,0.00023644943673905363,True
DM,internal,0.015,4.133138059530513,1.7892181302999375e-05,True
DM,internal,0.02,4.77062065046572,9.182956933135176e-07,True
DM,internal,0.03,6.045585832336132,7.443403509235871e-10,True
DM,internal,0.05,8.595516196076957,4.1445665849496095e-18,True
DM,external,0.01,1.6114608467792273,0.0535396571897508,False
DM,external,0.015,2.178077920588142,0.014700118045444972,True
DM,external,0.02,2.744694994397057,0.0030283580150227652,True
DM,external,0.03,3.8779291420148865,5.267469448206135e-05,True
DM,external,0.05,6.1443974372505465,4.0133817118494703e-10,True
CKD,internal,0.01,1.5124342421264019,0.0652117146810864,False
CKD,internal,0.015,2.1520016921105487,0.015698610546519193,True
CKD,internal,0.02,2.7915691420946955,0.0026226574834838532,True
CKD,internal,0.03,4.070704042062989,2.3435633271468168e-05,True
CKD,internal,0.05,6.628973841999576,1.6901423549878547e-11,True
CKD,external,0.01,3.080983390837179,0.0010315907862030454,True
CKD,external,0.015,3.759003397399051,8.529576080577492e-05,True
CKD,external,0.02,4.437023403960923,4.560568994000565e-06,True
CKD,external,0.03,5.793063417084667,3.4556997287594712e-09,True
CKD,external,0.05,8.505143443332155,9.068560165950737e-18,True
