feature,cohort,auc_clinic4,auc_clinic4_aec_mean,auc_diff,z,p_value
TAMA_SUM,internal,0.8881430556307404,0.894729244482939,-0.006586188852198638,-0.9132468416965761,0.3611127332487276
TAMA_SUM,external,0.8767123287671234,0.8375570776255707,0.039155251141552605,3.9753580916129665,7.027343728530513e-05
NAMA_SUM,internal,0.8605498677876466,0.8565156959793885,0.004034171808258158,0.5314489129910925,0.5951077340337941
NAMA_SUM,external,0.7723390739695086,0.7593344155844155,0.013004658385093126,2.2615215369893824,0.023726980583272585
LAMA_SUM,internal,0.8280561393992814,0.8479557936131263,-0.019899654213844986,-1.575601092280099,0.11511776425961982
LAMA_SUM,external,0.7598964382500968,0.773680474899987,-0.013784036649890252,-1.7124762000679543,0.08680894695496302
IMATA_SUM,internal,0.85535,0.859,-0.003649999999999931,-0.38408866583616386,0.7009127317711831
IMATA_SUM,external,0.8462547950736928,0.8745541422706776,-0.028299347196984792,-2.9169742222358166,0.0035344498201396175
SAT(피하지방)_SUM,internal,0.8757582601961796,0.9029265616933402,-0.02716830149716054,-2.660544474656366,0.007801442334204404
SAT(피하지방)_SUM,external,0.8740237691001698,0.8966958338774977,-0.02267206477732797,-1.7600376946474707,0.07840141555686073
VAT(내장지방)_SUM,internal,0.8784620991253644,0.9162870505344994,-0.037824951409135,-3.3446624859812486,0.0008238275733706505
VAT(내장지방)_SUM,external,0.8032622466216216,0.8601140202702703,-0.056851773648648685,-3.4309316032996957,0.0006015122431968646
Total Fat_SUM,internal,0.8812470790429815,0.9120471574376989,-0.030800078394717434,-2.913670077944889,0.0035720719803653536
Total Fat_SUM,external,0.8567478912839737,0.8735238987816307,-0.016776007497657064,-1.2350444789067596,0.21681395086816058
