config,seed,fold,best_epoch,best_val_loss,pos_weight_mean
surrogate_mimic_balanced,20260701,0,80,0.47231078147888184,14.694365501403809
surrogate_mimic_balanced,20260701,1,131,0.3883107602596283,14.442145347595215
surrogate_mimic_balanced,20260701,2,85,0.5253182649612427,16.19345474243164
surrogate_mimic_balanced,20260701,3,158,0.37671327590942383,15.455757141113281
surrogate_mimic_balanced,20260701,4,173,0.3307904005050659,14.681891441345215
surrogate_mimic_balanced,20260711,0,179,0.32728487253189087,14.672362327575684
surrogate_mimic_balanced,20260711,1,67,0.5179319977760315,15.254853248596191
surrogate_mimic_balanced,20260711,2,32,0.5685197710990906,15.467035293579102
surrogate_mimic_balanced,20260711,3,88,0.4564768075942993,15.461631774902344
surrogate_mimic_balanced,20260711,4,177,0.34804654121398926,14.565728187561035
