dataset,rule,features,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_delta,clinical_balanced_accuracy,post_balanced_accuracy,balanced_accuracy_delta,clinical_positive_n,clinical_positive_events,clinical_positive_event_rate,deesc_n,deesc_events,deesc_event_rate,fp_removed,tp_lost,sensitivity_loss_p_exact,specificity_gain_p_exact,accuracy_delta_p_mcnemar,deesc_event_fisher_p
g1090_internal,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S80,0.8062015503875969,0.7751937984496124,0.03100775193798444,0.696149843912591,0.7481789802289281,0.0520291363163371,0.7091743119266055,0.7513761467889908,0.04220183486238527,0.751175697150094,0.7616863893392702,0.010510692189176218,396,104,0.26262626262626265,54,4,0.07407407407407407,50,4,0.125,1.7763568394002505e-15,3.8029690507812575e-11,0.000374675364926469
g1090_internal,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S85,0.8527131782945736,0.813953488372093,0.03875968992248058,0.6399583766909469,0.6940686784599376,0.054110301768990676,0.6651376146788991,0.708256880733945,0.0431192660550459,0.7463357774927603,0.7540110834160153,0.007675305923255049,456,110,0.2412280701754386,57,5,0.08771929824561403,52,5,0.0625,4.440892098500626e-16,6.401865149108231e-11,0.002661247395018164
g1090_internal,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S90,0.9069767441860465,0.8682170542635659,0.03875968992248058,0.5275754422476587,0.5931321540062435,0.0655567117585848,0.5724770642201835,0.6256880733944954,0.053211009174311874,0.7172760932168526,0.7306746041349047,0.013398510918052109,571,117,0.20490367775831875,68,5,0.07352941176470588,63,5,0.0625,2.168404344971009e-19,7.651062942926057e-14,0.0035019499643216706
sdata_external,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S80,0.8652482269503546,0.7943262411347518,0.07092198581560283,0.6254777070063694,0.6878980891719745,0.06242038216560508,0.661987041036717,0.7041036717062635,0.04211663066954652,0.745362966978362,0.7411121651533632,-0.004250801824998818,416,122,0.2932692307692308,59,10,0.1694915254237288,49,10,0.001953125,3.552713678800501e-15,2.706279703008907e-07,0.02984017590482416
sdata_external,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S85,0.8794326241134752,0.8368794326241135,0.042553191489361764,0.575796178343949,0.643312101910828,0.06751592356687897,0.6220302375809935,0.6727861771058316,0.050755939524838034,0.7276144012287121,0.7400957672674707,0.012481366038758601,457,124,0.2713347921225383,59,6,0.1016949152542373,53,6,0.03125,2.220446049250313e-16,1.7539187463500028e-10,0.0014546883512908462
sdata_external,surrogate_mimic_guarded_t0.65_0.45_0.75_0.45_m16668,"thresholds=0.65,0.45,0.75,0.45; patterns=-+--,++--,--+-,---+,-+++",S90,0.9290780141843972,0.8865248226950354,0.042553191489361764,0.4840764331210191,0.5503184713375796,0.0662420382165605,0.5518358531317494,0.6015118790496761,0.049676025917926636,0.7065772236527081,0.7184216470163075,0.011844423363599366,536,131,0.24440298507462688,58,6,0.10344827586206896,52,6,0.03125,4.440892098500626e-16,3.1581898207733166e-10,0.008850194540346955
