feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
SAT(피하지방)_SUM,clinic4,internal,1079,146,0.13531047265987026,0.8381271197639079,0.8003516021771729,0.8729665531382972,0.1704904111455972,0.7328767123287672,0.8392282958199357,0.82483781278962,0.058132180909048425,0.9041095890410958,0.4908896034297964,0.5468025949953661
SAT(피하지방)_SUM,clinic4,external,922,144,0.1561822125813449,0.8726970865467011,0.8367568319642837,0.9041409343684601,0.1704904111455972,0.6736111111111112,0.8753213367609255,0.8438177874186551,0.058132180909048425,0.9236111111111112,0.5989717223650386,0.6496746203904555
SAT(피하지방)_SUM,clinic4_aec_best,internal,1079,146,0.13531047265987026,0.8462024108414453,0.8104945703351408,0.8791677129995669,0.18963916942956152,0.684931506849315,0.8595927116827439,0.8359592215013901,0.05547210952740345,0.9041095890410958,0.5551982851018221,0.6024096385542169
SAT(피하지방)_SUM,clinic4_aec_best,external,922,144,0.1561822125813449,0.8866573836046843,0.8537068675035782,0.9153717594476729,0.18963916942956152,0.4305555555555556,0.9781491002570694,0.8926247288503254,0.05547210952740345,0.8055555555555556,0.794344473007712,0.7960954446854663
VAT(내장지방)_SUM,clinic4,internal,1079,163,0.15106580166821132,0.8486417338655665,0.8178658860012511,0.877145408121154,0.15213323161335096,0.7852760736196319,0.7532751091703057,0.758109360518999,0.08176260911686871,0.901840490797546,0.5709606986899564,0.6209453197405005
VAT(내장지방)_SUM,clinic4,external,922,195,0.21149674620390455,0.8147250731844955,0.7805740001642871,0.84814522978789,0.15213323161335096,0.7025641025641025,0.7771664374140302,0.7613882863340564,0.08176260911686871,0.8512820512820513,0.5818431911966988,0.6388286334056399
VAT(내장지방)_SUM,clinic4_aec_best,internal,1079,163,0.15106580166821132,0.8975607469124226,0.8745603234151184,0.9184011702000471,0.1746291617591814,0.8159509202453987,0.834061135371179,0.8313253012048193,0.10491929546971303,0.901840490797546,0.732532751091703,0.758109360518999
VAT(내장지방)_SUM,clinic4_aec_best,external,922,195,0.21149674620390455,0.8576164779741121,0.8275651481207698,0.8864965138661276,0.1746291617591814,0.6615384615384615,0.8734525447042641,0.8286334056399133,0.10491929546971303,0.7487179487179487,0.7675378266850069,0.7635574837310195
Total Fat_SUM,clinic4,internal,1079,154,0.14272474513438368,0.8505791505791506,0.8133777416501614,0.8829257139729371,0.17351065895691886,0.7662337662337663,0.8227027027027027,0.8146431881371641,0.07075932713508577,0.9025974025974026,0.5621621621621622,0.6107506950880445
Total Fat_SUM,clinic4,external,922,169,0.18329718004338394,0.8688245047423717,0.8357533697079842,0.8994195437086547,0.17351065895691886,0.7041420118343196,0.8764940239043825,0.8449023861171366,0.07075932713508577,0.8994082840236687,0.6414342629482072,0.6887201735357917
