feature,cohort,comparison_model,auc_clinic4,auc_aec_model,auc_diff,z,p_value
SAT(피하지방)_SUM,internal,clinic4_aec_best,0.8381271197639079,0.8462024108414453,-0.008075291077537461,-0.8264137007815974,0.40856945408274614
SAT(피하지방)_SUM,external,clinic4_aec_best,0.872697086546701,0.8866573836046844,-0.013960297057983406,-1.7554633826614545,0.07918007873255457
VAT(내장지방)_SUM,internal,clinic4_aec_best,0.8486417338655664,0.8975607469124226,-0.0489190130468562,-4.69731553776291,2.6360306315024943e-06
VAT(내장지방)_SUM,external,clinic4_aec_best,0.8147250731844955,0.857616477974112,-0.042891404789616505,-3.1790915685512693,0.0014773741188104374
Total Fat_SUM,internal,clinic4_aec_best,0.8505791505791506,0.8717023517023517,-0.021123201123201096,-2.252655947929291,0.024280850540433812
Total Fat_SUM,external,clinic4_aec_best,0.8688245047423717,0.890426459841109,-0.021601955098737302,-2.5503569530836367,0.010761267542285362
VAT_TotalFat_ratio,internal,clinic4_aec_best,0.7611767320759509,0.8361910205118435,-0.07501428843589253,-5.269434205719711,1.3684490961350286e-07
VAT_TotalFat_ratio,external,clinic4_aec_best,0.7091629375778861,0.7870808315395944,-0.07791789396170834,-4.635516576393557,3.560471893966307e-06
VAT_SAT_ratio,internal,clinic4_aec_best,0.7614074615353388,0.844328069392008,-0.08292060785666922,-5.545579566712978,2.929820635828912e-08
VAT_SAT_ratio,external,clinic4_aec_best,0.7083797823531642,0.7821484093580556,-0.0737686270048914,-4.0558782900587635,4.994626404927967e-05
VAT_TAMA_ratio,internal,clinic4_aec_best,0.8416086466414694,0.8896094423446721,-0.0480007957032027,-4.580414529124113,4.640552355596364e-06
VAT_TAMA_ratio,external,clinic4_aec_best,0.8033633193337764,0.8493734456038422,-0.04601012627006584,-3.0804500509573067,0.0020668801928052484
TotalFat_TAMA_ratio,internal,clinic4_aec_best,0.8220323562495865,0.8530652418447694,-0.031032885595182913,-2.509818164538318,0.012079334414300215
TotalFat_TAMA_ratio,external,clinic4_aec_best,0.8206226573854509,0.8555207085001317,-0.034898051114680806,-2.9168194062298594,0.0035362045282002806
SAT_TotalFat_ratio,internal,clinic4_aec_best,0.774589113099664,0.8127612112509935,-0.03817209815132949,-3.34032604569372,0.0008368008518356255
SAT_TotalFat_ratio,external,clinic4_aec_best,0.7627384702324268,0.7987169961384305,-0.0359785259060037,-2.4559795635171464,0.014050114728655236
SAT_TAMA_ratio,internal,clinic4_aec_best,0.8079572729438063,0.8322065263196468,-0.024249253375840496,-1.7619650297070064,0.07807520612526224
SAT_TAMA_ratio,external,clinic4_aec_best,0.8202409033877038,0.8368381430363864,-0.016597239648682538,-1.4340473180796742,0.15155876015681596
