n_components,explained_variance_pct,cumulative_variance_pct,mean_r2_internal
1,84.30388217978624,84.30388217978624,0.5165035853164716
2,10.463571684721582,94.76745386450783,0.5500075767555727
3,2.596563291689395,97.3640171561972,0.5641203946315365
4,1.0924587033101707,98.45647585950739,0.5662397097277442
5,0.6346400999113596,99.09111595941874,0.5666253403303708
6,0.3248202110319016,99.41593617045065,0.5754477728923383
7,0.18384193071554442,99.5997781011662,0.5746923011429735
8,0.1284417952594461,99.72821989642564,0.5753211998234826
9,0.0720482238864489,99.80026812031208,0.5749502634582264
10,0.052492349258089106,99.85276046957019,0.5751626507418388
