n_components,feature,r2_internal
18,VAT_TAMA_ratio,0.49204322714543247
19,VAT_TAMA_ratio,0.49200493655140654
20,VAT_TAMA_ratio,0.49013093684709075
1,SAT_TotalFat_ratio,0.6431438934484177
2,SAT_TotalFat_ratio,0.6877421971640836
3,SAT_TotalFat_ratio,0.686990281345343
4,SAT_TotalFat_ratio,0.6897205433816481
5,SAT_TotalFat_ratio,0.6903933613961117
6,SAT_TotalFat_ratio,0.6958102424293513
7,SAT_TotalFat_ratio,0.6938154943578281
8,SAT_TotalFat_ratio,0.6946518406476276
9,SAT_TotalFat_ratio,0.6946663088870282
10,SAT_TotalFat_ratio,0.6949569156472862
11,SAT_TotalFat_ratio,0.6940940146343033
12,SAT_TotalFat_ratio,0.6935493395640572
13,SAT_TotalFat_ratio,0.6919608425948818
14,SAT_TotalFat_ratio,0.6907366555833803
15,SAT_TotalFat_ratio,0.6937108935421032
16,SAT_TotalFat_ratio,0.6935209298543733
17,SAT_TotalFat_ratio,0.6939026136555635
18,SAT_TotalFat_ratio,0.6938168278535555
19,SAT_TotalFat_ratio,0.6930826653327771
20,SAT_TotalFat_ratio,0.6933218643454195
1,SAT_TAMA_ratio,0.4320766283380276
2,SAT_TAMA_ratio,0.43228618545240916
3,SAT_TAMA_ratio,0.43809956198937183
4,SAT_TAMA_ratio,0.4399303321405368
5,SAT_TAMA_ratio,0.44091144984777997
6,SAT_TAMA_ratio,0.44688458716206425
7,SAT_TAMA_ratio,0.44717075760700864
8,SAT_TAMA_ratio,0.446298364694269
9,SAT_TAMA_ratio,0.444793555401949
10,SAT_TAMA_ratio,0.4432608647755607
11,SAT_TAMA_ratio,0.44303339303053657
12,SAT_TAMA_ratio,0.4443129905591774
13,SAT_TAMA_ratio,0.4417086664453447
14,SAT_TAMA_ratio,0.44180809092026196
15,SAT_TAMA_ratio,0.4414411428349452
16,SAT_TAMA_ratio,0.44106820992822504
17,SAT_TAMA_ratio,0.44095663730493406
18,SAT_TAMA_ratio,0.4405154799647055
19,SAT_TAMA_ratio,0.43856020432846676
20,SAT_TAMA_ratio,0.4381138999956332
1,TotalFat_TAMA_ratio,0.3694159241469812
2,TotalFat_TAMA_ratio,0.38115449110206423
3,TotalFat_TAMA_ratio,0.3954464569950731
4,TotalFat_TAMA_ratio,0.3955390508440281
5,TotalFat_TAMA_ratio,0.3968444633870287
6,TotalFat_TAMA_ratio,0.41058679911721996
7,TotalFat_TAMA_ratio,0.4109575874659347
8,TotalFat_TAMA_ratio,0.40994151915575283
9,TotalFat_TAMA_ratio,0.4086980098271469
10,TotalFat_TAMA_ratio,0.4065803081132304
11,TotalFat_TAMA_ratio,0.4061106363345399
12,TotalFat_TAMA_ratio,0.40816320807583983
13,TotalFat_TAMA_ratio,0.406245239971905
14,TotalFat_TAMA_ratio,0.4060929650591446
15,TotalFat_TAMA_ratio,0.407300690943625
16,TotalFat_TAMA_ratio,0.406559877323171
17,TotalFat_TAMA_ratio,0.407912656690125
18,TotalFat_TAMA_ratio,0.40754634096510856
19,TotalFat_TAMA_ratio,0.40654968045465256
20,TotalFat_TAMA_ratio,0.40560452518828427
