cohort,sens_stage1,spec_stage1,sens_combined,spec_combined,acc_combined,ppv_combined,npv_combined,sens_delta,spec_delta,mcnemar_sens_p,mcnemar_spec_p,verdict,ni_sens_drop,ni_ci_upper_97.5,ni_margin,ni_verdict
internal,0.9069767441860465,0.5359001040582726,0.8992248062015504,0.5494276795005203,0.5908256880733945,0.21129326047358835,0.9759704251386322,-0.007751937984496027,0.013527575442247697,1.0,0.000244140625,PASS,0.007751937984496027,0.0367718209497858,0.05,NON-INFERIOR
external,0.9290780141843972,0.49044585987261147,0.9290780141843972,0.4929936305732484,0.5593952483801296,0.24763705103969755,0.9748110831234257,0.0,0.002547770700636942,1.0,0.5,PASS,0.0,0.022759858065156013,0.05,NON-INFERIOR
