cohort,component,outcome,r_raw,p_raw,r_residualized_on_demog_vat_sat,p_residualized
internal,PC1,HTN,0.21777659232016394,5.56116632196855e-15,0.042497322637774844,0.13178768514057354
internal,PC1,DM,0.12695869675068847,6.224420787782594e-06,-0.015003823265648563,0.59481420922376
internal,PC1,CKD,0.1086283306431345,0.00011246375188698152,0.00421304325767681,0.8812845499798984
internal,PC2,HTN,-0.33570052677189044,1.5397244566882938e-34,-0.04969177563111597,0.07798139986653087
internal,PC2,DM,-0.27077651475011044,1.3511878365730856e-22,-0.09494572356321762,0.0007430604224816388
internal,PC2,CKD,-0.20675298021075478,1.2725880412814549e-13,-0.044659333616422395,0.1132310181311107
internal,PC3,HTN,0.0735446051871019,0.009041472624265308,-0.015074837895173792,0.593071507052145
internal,PC3,DM,0.08903961330905706,0.0015642978659011159,0.04161327197901878,0.14002151412923874
internal,PC3,CKD,-0.007591972726074144,0.7878391582799503,-0.02634771652055655,0.35024535329933304
external,PC1,HTN,0.07752899164299004,0.009346626585658211,0.03620638382359917,0.22537255276470075
external,PC1,DM,0.02236116441602152,0.4540932931684052,-0.003003259727152461,0.9199228059086232
external,PC1,CKD,-0.008816294777972198,0.7679012503909382,-0.03449324009253764,0.24810435363212496
external,PC2,HTN,-0.1806040547138543,1.0895326671314352e-09,-0.04051102745521536,0.17490266397219031
external,PC2,DM,-0.1684198319668851,1.3606255442237392e-08,-0.05275282693235228,0.07721619620060263
external,PC2,CKD,-0.1751166502413786,3.472592601646793e-09,-0.1031095177174305,0.0005387681453891175
external,PC3,HTN,0.09404874642248856,0.0016040388797160061,0.01686736917642676,0.5723075451847421
external,PC3,DM,0.03740163746884634,0.2104183792200537,-0.02337736704426801,0.43383975116905604
external,PC3,CKD,0.04857995020802477,0.10371166145628626,0.03877143902395473,0.19417796116947103
