variable,r2_vs_rest,vif
age,0.356779433110916,1.5546766559975973
height,0.6216101671121943,2.642777139037202
weight,0.6999431108805639,3.3327013518491664
VAT,0.6722651031270828,3.0512466311689743
SAT,0.5330260182125921,2.1414469306670165
FPCA1,0.3964679214464851,1.6569127566453463
FPCA2,0.4716672640633903,1.8927466196604972
FPCA3,0.23238190033543937,1.3027311373155315
