feature,model,cohort,n,calibration_slope,calibration_intercept,calibration_in_the_large,brier_score
CKD,clinic4,external,1123,0.40449275392381046,-0.601892462967051,1.0308329548755217,0.14041165069931477
CKD,clinic4,internal,1259,0.9684798465036193,-0.06496482187318216,0.4863639672404507,0.07071413427780625
CKD,clinic4_meanmAs,external,1123,0.4021870583759484,-0.568235041824081,1.126232820138892,0.14142392345560062
CKD,clinic4_meanmAs,internal,1259,0.9610275348607266,-0.07946082997252715,0.48806128252361525,0.07077660817110062
CKD,clinic4_meanmAs_aec,external,1123,0.49225575358930074,-0.3860917483613456,1.042405182312385,0.13877634947220163
CKD,clinic4_meanmAs_aec,internal,1259,0.9398655695455543,-0.12057810260402543,0.5389416923600154,0.07040166285766873
CKD,clinic4_vatsat,external,1123,0.42400734534530343,-0.553178708149507,1.0386379972400073,0.13934634651805408
CKD,clinic4_vatsat,internal,1259,0.9614010871356637,-0.06997574649233683,0.49858478250525806,0.07027867608177178
CKD,clinic4_vatsat_aec,external,1123,0.4799566305499019,-0.4416873790305484,0.9932118588141436,0.137537076682107
CKD,clinic4_vatsat_aec,internal,1259,0.9381821440601542,-0.11675167625517209,0.5540193391415889,0.06991356286496916
DM,clinic4,external,1123,0.7428562147887542,0.22873211939301302,0.7137713689164105,0.20426748589001364
DM,clinic4,internal,1259,0.9857210362969882,-0.02180578896884346,0.23311127203631332,0.1362623698455041
DM,clinic4_meanmAs,external,1123,0.7437635575244641,0.23631740712251054,0.7219720164151346,0.20452651763444307
DM,clinic4_meanmAs,internal,1259,0.98391541141653,-0.02299523360137632,0.23368689830308464,0.13634781135227655
DM,clinic4_meanmAs_aec,external,1123,0.8417279184055255,0.2920154322980234,0.6145031424278808,0.20021242692589844
DM,clinic4_meanmAs_aec,internal,1259,0.97494202431169,-0.03551027656857772,0.27871648580493713,0.13291165806648603
DM,clinic4_vatsat,external,1123,0.7434792774563816,0.22892958261299745,0.7150893394898343,0.20268409433126827
DM,clinic4_vatsat,internal,1259,0.936114419756836,-0.09245224967611888,0.2428371443432138,0.1348712787960587
DM,clinic4_vatsat_aec,external,1123,0.8198651862128423,0.23639375785976863,0.5854972011188575,0.19842477312674592
DM,clinic4_vatsat_aec,internal,1259,0.9328048571161883,-0.09370741359771996,0.27867476210328657,0.13337124555706056
HTN,clinic4,external,1123,0.676130773934017,0.3239596158591988,0.6481002148733533,0.22521316775901964
HTN,clinic4,internal,1259,0.9838466040482214,-0.013617799177766645,0.2943605409241924,0.1654435962834427
HTN,clinic4_meanmAs,external,1123,0.683054999944908,0.5343356626372675,0.9463416111320018,0.2379871511576785
HTN,clinic4_meanmAs,internal,1259,0.9778868897392748,-0.018598099480429068,0.3002421586330063,0.16469436914456131
HTN,clinic4_meanmAs_aec,external,1123,0.7660864597661702,0.5500477423895288,0.8489397969585373,0.22986201265819411
HTN,clinic4_meanmAs_aec,internal,1259,0.9557950464955168,-0.035457789488939746,0.3178426071834429,0.162323232750776
HTN,clinic4_vatsat,external,1123,0.6562796348752529,0.3073652822797985,0.6336350822465547,0.22181511435339543
HTN,clinic4_vatsat,internal,1259,0.9693313977199931,-0.023850597593238043,0.31348864128707354,0.15879322249197397
HTN,clinic4_vatsat_aec,external,1123,0.6982774063226959,0.43726541892551274,0.7754580382475365,0.22503137615019062
HTN,clinic4_vatsat_aec,internal,1259,0.9466658647119767,-0.04418229243993216,0.32622112474294973,0.158915634518848
