feature,model,pooled_oof_auc,fold_auc_mean,fold_auc_sd,n_folds,boot_ci_lower,boot_ci_upper
HTN,clinic4,0.7945377277185058,0.7941917130488558,0.008929678937113281,5,0.7688739605810873,0.8196647497260959
HTN,clinic4_meanmAs,0.7964932093078546,0.7964877487044973,0.010970504713640099,5,0.7710547822122519,0.8223528287999057
HTN,clinic4_meanmAs_aec,0.8024131474932391,0.8027152026954983,0.01857521367714252,5,0.7766722515000059,0.827793843602908
HTN,clinic4_vatsat,0.8106273589111117,0.8130403258482076,0.013767463205644736,5,0.7858200590297195,0.8349774599349824
HTN,clinic4_vatsat_aec,0.8103153139766411,0.81158015055552,0.016463902692781272,5,0.7851459669697435,0.8347095329507163
DM,clinic4,0.7216532921465265,0.7220520133018975,0.03437442992447339,5,0.6872291965575887,0.7544249720602613
DM,clinic4_meanmAs,0.7206963704126514,0.721342706551914,0.03424744607313901,5,0.686171282526007,0.7535445903437261
DM,clinic4_meanmAs_aec,0.7405021320887755,0.7393761269012059,0.039246721560602715,5,0.7065383527111392,0.7721148179780565
DM,clinic4_vatsat,0.723109659873082,0.7231091246714448,0.0496319657426503,5,0.6874954334716568,0.756689707249055
DM,clinic4_vatsat_aec,0.734773192760971,0.7338631164564433,0.048872560689504393,5,0.699843824622646,0.767309401523325
CKD,clinic4,0.7681851943550383,0.769205990696674,0.029885838012345796,5,0.7259952934577845,0.8100408908455811
CKD,clinic4_meanmAs,0.7674589419823389,0.7684635171591693,0.02913052504372719,5,0.724739913213417,0.8087789662067205
CKD,clinic4_meanmAs_aec,0.7715523644466453,0.7720652846118684,0.023717407076538948,5,0.7298070273755287,0.8129009795535732
CKD,clinic4_vatsat,0.7697862507221259,0.7705201079114122,0.03342321248717965,5,0.7248543824162975,0.8142135248824673
CKD,clinic4_vatsat_aec,0.7727985474952546,0.7742441271633818,0.031468142059033984,5,0.7288832526591733,0.8157588771972084
