cohort,tissue,pearson_r,p_value
internal,VAT,0.43393194108152966,5.880619655903842e-59
internal,SAT,0.3504313024759984,1.101500904731393e-37
external,VAT,0.27454572369817903,7.201912798780482e-21
external,SAT,0.2660074496289184,1.2103296874074707e-19
