cohort,sens_before,sens_after,sens_delta,sens_floor,spec_before,spec_after,spec_delta,pass
internal,0.9069767441860465,0.8682170542635659,-0.03875968992248058,0.8616279069767441,0.5348595213319459,0.5796045785639958,0.04474505723204991,True
external,0.9290780141843972,0.9219858156028369,-0.007092198581560294,0.8826241134751772,0.4929936305732484,0.5070063694267516,0.014012738853503182,True
