cohort,n,event,auc,sens_clin,sens_aec,sens_p,spec_clin,spec_aec,spec_p,acc_clin,acc_aec,acc_p,net_nri,n_deesc
internal,1090,129,0.728685060899826,0.9069767441860465,0.8682170542635659,0.0625,0.5348595213319459,0.6056191467221644,6.776263578034403e-21,0.5788990825688073,0.636697247706422,3.4249061479387204e-15,63,73
external,926,141,0.7501630288848825,0.9290780141843972,0.900709219858156,0.125,0.4929936305732484,0.5235668789808917,1.1920928955078125e-07,0.5593952483801296,0.5809935205183585,0.00017999112606048584,20,28
